layer_a,layer_b,linear_cka,rbf_cka
L1,L4,0.976950,0.965302
L1,L8,0.849335,0.833086
L1,L12,0.598521,0.677913
L1,L16,0.584976,0.685638
L1,L20,0.570981,0.682136
L1,L24,0.519691,0.656583
L1,L28,0.489953,0.656991
L1,L32,0.466169,0.670011
L4,L8,0.896320,0.888003
L4,L12,0.667358,0.737765
L4,L16,0.657011,0.744698
L4,L20,0.637555,0.741247
L4,L24,0.576349,0.715981
L4,L28,0.540018,0.715193
L4,L32,0.512401,0.725565
L8,L12,0.860883,0.917862
L8,L16,0.826383,0.898813
L8,L20,0.821825,0.897766
L8,L24,0.795100,0.892439
L8,L28,0.763367,0.881428
L8,L32,0.727128,0.864999
L12,L16,0.974066,0.981101
L12,L20,0.958538,0.967451
L12,L24,0.920017,0.953813
L12,L28,0.876352,0.934742
L12,L32,0.837297,0.910078
L16,L20,0.980284,0.987832
L16,L24,0.914027,0.957254
L16,L28,0.864202,0.939518
L16,L32,0.827810,0.924946
L20,L24,0.957862,0.979312
L20,L28,0.917988,0.966162
L20,L32,0.883006,0.952502
L24,L28,0.986996,0.994628
L24,L32,0.956554,0.974868
L28,L32,0.980396,0.987022
