model,alpha,eval_time,n_tasks,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
baseline32,0.01,by earliest stop,9,0.018098626310284485,0.02565627425930758,0.004065975122992667,0.03683810568374797,0.06259275115670133,0.06648410399560375,0.026099479821254004,0.1104860432279787,0.5222470624232085,0.021297444189824512,0.5100464508557322,0.5371985691122999,0.5987415009578183,0.12795599936755353,0.5173272361914034,0.6833360162852202,0.9721481296199236,0.027235602279575215,0.9532424618755916,0.9884728757121598,0.4012584990421817,0.12795599936755356,0.317240110158803,0.48294435870784413,0.02785187038007628,0.027235602279575215,0.01175421727971071,0.046785393165809784
baseline32,0.025,by earliest stop,9,0.02298321854631984,0.03328393085945569,0.004505020017187531,0.04685324422166525,0.07879706575188557,0.08465227512143532,0.03327047598563584,0.1401477284636592,0.5279069236027828,0.026596735141473326,0.513205262086841,0.5469719615729802,0.5188499983582487,0.11104115279911142,0.44848724827688896,0.593307378013969,0.9635080562573948,0.03536936326646492,0.9385756304276448,0.9839604491957497,0.48115000164175115,0.1110411527991114,0.4066778944270237,0.5505500850616163,0.03649194374260531,0.03536936326646493,0.015992658632383114,0.06144868462521262
baseline32,0.05,by earliest stop,9,0.03700597553738469,0.05113745118036253,0.008674577076175825,0.07373226513577387,0.10675815180578432,0.11095720532995748,0.045331866955593596,0.18823816356357384,0.5348760881341997,0.03198274797557531,0.5162621497019664,0.5578725193478836,0.5127624657041552,0.10621462386063596,0.4464613960922173,0.5830678848959301,0.9471832947486334,0.04880579207444693,0.9127258367461099,0.9764969991631687,0.48723753429584465,0.10621462386063596,0.41554906636332417,0.5530993838171744,0.05281670525136661,0.04880579207444693,0.023800801809594558,0.08647363281454684
baseline32,0.075,by earliest stop,9,0.05824427485151876,0.07278413056489573,0.016387165303831965,0.11027970855361911,0.13394373460351577,0.1329789128653664,0.059239817121820505,0.22979481191846782,0.5378497298759986,0.0341256797246194,0.5179570154805371,0.5618501973722686,0.5084624158974979,0.09793452267031141,0.44853113219655766,0.575581433986266,0.931617787729773,0.06203220385028958,0.8886786089307783,0.9690322068525685,0.4915375841025022,0.09793452267031141,0.4247664074591332,0.5517914487880399,0.06838221227022695,0.06203220385028955,0.030717914884581546,0.11089305277666893
baseline32,0.1,by earliest stop,9,0.08092236286633568,0.09794124400169306,0.023612656600772042,0.15047720349354468,0.16187706785518519,0.1498667940856557,0.07574538061238684,0.27081706520020044,0.5404773524944247,0.03166003475687692,0.5204604870804644,0.5618998976305263,0.5212446240466944,0.10734132664635239,0.4507415750868436,0.5918836930844857,0.9154581935799576,0.07392687990074343,0.8640505062429888,0.9599269954488253,0.4787553759533057,0.10734132664635239,0.4085594938954881,0.5483829528663118,0.08454180642004237,0.07392687990074341,0.03946799792455122,0.1344598686388311
baseline32,0.15,by earliest stop,9,0.1428081201114591,0.1601896868680794,0.044380301315360714,0.25306008355025045,0.2313500400017095,0.18887310176630331,0.11891558890709993,0.3619592196590635,0.5442709599451252,0.02990628874816101,0.5240363902588011,0.5629460509098312,0.49153297841525717,0.11099022172732284,0.4167957095148652,0.5614442626601892,0.877256914006778,0.09722290604892865,0.8122815557180649,0.9378082898942529,0.5084670215847429,0.11099022172732279,0.43986787209398026,0.583562116464625,0.12274308599322212,0.09722290604892865,0.06289178582398709,0.18881671053515514
baseline32,0.2,by earliest stop,9,0.1970869804910552,0.2059893552488379,0.0747206073182304,0.3397427134269239,0.3050114708315991,0.2159113112022757,0.17346032906339923,0.45116321518651264,0.553962245170272,0.03236601537778296,0.5315343003866395,0.5735575837867269,0.49055715966435554,0.12373848633436864,0.4086952830629298,0.5704139204824904,0.8349540189280741,0.13190172507631126,0.7461881956994526,0.9156423697416509,0.5094428403356444,0.12373848633436864,0.42932310550475833,0.5915412841229819,0.16504598107192595,0.13190172507631126,0.08316861992577829,0.2549235044262304
baseline32,0.3,by earliest stop,9,0.3485906518390955,0.32129379293840993,0.154186470030839,0.5714590607573063,0.4604923404234855,0.27975804683631067,0.2886035786013856,0.6549383319455004,0.555950844292195,0.052725236804795114,0.523066576003227,0.5911310480553371,0.4235109197633571,0.10304701229969654,0.3562326264746983,0.48983865096288787,0.7223091803733861,0.20269397047634333,0.582702515567502,0.8464757308490832,0.576489080236643,0.10304701229969651,0.5105012730992871,0.6444322369362987,0.27769081962661396,0.20269397047634333,0.15681688917751277,0.4199427492544817
late24_28_32,0.01,by earliest stop,9,0.031463163008154514,0.05408423479171503,0.002216113761105271,0.07097968936678613,0.07881712740088516,0.09205950900785716,0.02852446773499404,0.1457696434730247,0.5236769821963654,0.02069558868634364,0.5119833422959484,0.5385586283280114,0.6541007618260031,0.10513677488317258,0.5874855521557459,0.7325915997296899,0.9716751466743426,0.031056312457805768,0.9498812590959212,0.9898307905245068,0.3458992381739968,0.10513677488317257,0.2677531470873167,0.4121895444745109,0.028324853325657238,0.031056312457805768,0.0102129691213249,0.050337490800512065
late24_28_32,0.025,by earliest stop,9,0.047368362317428525,0.07953288493704484,0.005015899964966177,0.10458245239166235,0.09851312665828792,0.11315936658911031,0.036745446011575034,0.18253230105716625,0.5255723821704297,0.018726528349178706,0.5144258533693664,0.5385267199859551,0.6417613094437133,0.07293854370788876,0.5952208661159952,0.694783038545526,0.9624948656365747,0.039841899553555625,0.9346511380849206,0.9859831410650417,0.3582386905562866,0.07293854370788874,0.30426019101948154,0.4049276079427844,0.03750513436342528,0.039841899553555604,0.013784423324653197,0.06544723816899356
late24_28_32,0.05,by earliest stop,9,0.06726560911054402,0.10969748372408741,0.008392345110087041,0.14730923669803125,0.1272303985952354,0.1429133662036538,0.0471728242282147,0.2311612414149671,0.5299823947423457,0.019131191026134045,0.5177679622511259,0.5427377532512413,0.6392113503714107,0.0672422065608042,0.5963788766117426,0.6888747755611374,0.9490997793853039,0.054910065145156284,0.911192906011535,0.9820734553124706,0.36078864962858925,0.0672422065608042,0.31207938206375696,0.4036211233882573,0.05090022061469604,0.05491006514515624,0.017886460664045464,0.08897924917717778
late24_28_32,0.075,by earliest stop,9,0.09169418238178847,0.14469931461863414,0.012351488039094149,0.19586497974556785,0.16101386594359618,0.16512315096995506,0.06513222562352441,0.27795400238948625,0.5346598417809038,0.017895954096070383,0.5225585048905118,0.5459805973631194,0.6052234238452179,0.0778608698158029,0.5541996938345779,0.661849960661464,0.9309092520413136,0.06885330150651434,0.8839035124670781,0.9718702508462134,0.3947765761547821,0.07786086981580287,0.3386572468243333,0.44544386730334007,0.0690907479586864,0.06885330150651434,0.027213921069692826,0.11661999488816381
late24_28_32,0.1,by earliest stop,9,0.11999429232026854,0.17010932193000394,0.023012878672188233,0.24130283519431775,0.20424274386592814,0.18623061845427316,0.0926130736141701,0.3351289221365386,0.5421242257728298,0.022302608254517756,0.5271536592433711,0.5558355321605181,0.5862911255947774,0.08394990142957798,0.5336603582079328,0.6474248039313741,0.9046503746102856,0.08718655812870532,0.8462763062426426,0.9585385839326641,0.41370887440522264,0.08394990142957798,0.3523666066446877,0.46688291431434414,0.09534962538971432,0.08718655812870532,0.04201612616034883,0.15534944125952527
late24_28_32,0.15,by earliest stop,9,0.18114145878435634,0.21984333669349984,0.04812530130583328,0.3344139919691702,0.2833465370279179,0.22278806084282055,0.14476344058800197,0.43401323159642324,0.5511025391217808,0.0330184515782858,0.5299064202097239,0.5733904871878839,0.535445635135841,0.05617759955243689,0.49752680778528446,0.5746749374578152,0.85894845816055,0.12185776453609841,0.7773360135565318,0.9341913852428981,0.4645543648641591,0.05617759955243687,0.4255495953172399,0.5029312863946062,0.14105154183944985,0.12185776453609842,0.06623407721035816,0.22334981423413255
late24_28_32,0.2,by earliest stop,9,0.2506058690099437,0.2849476439220308,0.08022025983825644,0.4437439849498423,0.35639126235994756,0.2591053638695942,0.19266212880686562,0.5297935843850057,0.5528926966750018,0.04640964616595167,0.5234956212930121,0.5835756861669426,0.5518161335804956,0.16469074532896222,0.4632625865841471,0.6714589863416479,0.8130762414835417,0.15371941865707928,0.7081516199699793,0.9091957104383455,0.44818386641950436,0.16469074532896222,0.3277216816825976,0.5376871680403228,0.18692375851645837,0.15371941865707928,0.09118144184084852,0.290972151346756
late24_28_32,0.3,by earliest stop,9,0.3796930097297952,0.37315974753301534,0.14544275590681924,0.6342262120700152,0.48873536412444163,0.3193928515152251,0.2845816086934508,0.6991765656946755,0.5545211771973232,0.05895909023184506,0.5180779548953006,0.5944884163814554,0.4741067954913771,0.18459352957219516,0.36503600124936125,0.6058235647749537,0.7018475984792676,0.23311717937873497,0.544908882917852,0.847972400319528,0.5258932045086229,0.18459352957219513,0.3966177926468187,0.6346961751346057,0.2981524015207324,0.233117179378735,0.15361622421351567,0.4542351739055175
shuffled_late24_28_32,0.01,by earliest stop,9,0.0249148512306407,0.04760942711065413,0.0,0.05744061007218902,0.046286045659748726,0.07224093034962148,0.006976236888517588,0.09840538722353472,0.510685597214554,0.012719083915417507,0.5033378772498751,0.519571992928435,0.4798875980220313,0.29596993265064847,0.26660021936733524,0.6959062030895946,0.9739068832894545,0.038612604337525586,0.9462707549350959,0.995939377298613,0.5201124019779687,0.2959699326506485,0.30691832450174444,0.7371424077490818,0.026093116710545473,0.038612604337525586,0.0035526174551274666,0.05351802640937909
shuffled_late24_28_32,0.025,by earliest stop,9,0.03083670715249662,0.057785931386799785,0.0007797270955165689,0.0724321487479382,0.055390327671029416,0.08071052293531455,0.011210433491135242,0.11354497354497355,0.5122768102592664,0.011982170788075208,0.5052185975979835,0.5207485130204429,0.4612631587460449,0.27828888089963705,0.25765126192571725,0.6691467226807128,0.9691132040007706,0.045000164279177246,0.9371796739160667,0.9947428699128409,0.538736841253955,0.2782888808996371,0.3308532773192872,0.7379745742138303,0.03088679599922935,0.045000164279177225,0.005054614131444569,0.06333613728000698
shuffled_late24_28_32,0.05,by earliest stop,9,0.04022293810069701,0.0741932182015027,0.0013110172384365926,0.09356296724717778,0.07136223242476779,0.097006357180585,0.017710082914737694,0.14136939571150095,0.5155696471620355,0.013066291932100635,0.5074613904731688,0.5243861062078733,0.3755454912583935,0.2872918063831499,0.1830674241902444,0.5776392393188154,0.9601364754921258,0.05604254933563967,0.9199063439104042,0.9919197190835636,0.6244545087416065,0.2872918063831499,0.42046730996109066,0.8186180680173087,0.03986352450787411,0.05604254933563969,0.008029008965880715,0.07961686203204567
shuffled_late24_28_32,0.075,by earliest stop,9,0.05389825553096633,0.09678158409946029,0.0031569248076746643,0.12261970346668984,0.08733225323727116,0.11179422209423033,0.024150103182361243,0.16736439967174724,0.5167169988531524,0.012437510799413506,0.508657694478766,0.5248147795743474,0.341369033048777,0.23370080824490022,0.18278143569961985,0.5033930322027192,0.9489710301204608,0.064592255775182,0.9021093790824107,0.9860966858539424,0.6586309669512229,0.23370080824490022,0.49793704530645744,0.8205746117094179,0.05102896987953917,0.06459225577518199,0.013980371295707035,0.09763149006036652
shuffled_late24_28_32,0.1,by earliest stop,9,0.06696562351061501,0.11730933904437021,0.0057108371490799305,0.15002489834726626,0.10598259161171818,0.12930756524873918,0.03222651230008332,0.1984604800962799,0.5195084840505516,0.015733739241557864,0.509831002304828,0.5303441117037608,0.3457659552816566,0.21308364586106332,0.19826678280035834,0.4919124571082314,0.9355874517209704,0.07869962497847083,0.8795172558279781,0.9809465102996932,0.6542340447183433,0.2130836458610633,0.5102417587657944,0.8029198960892099,0.0644125482790296,0.0786996249784708,0.018757010928806262,0.12164882369308329
shuffled_late24_28_32,0.15,by earliest stop,9,0.10302799769975773,0.1479947781326139,0.012235454533204949,0.20572855645004767,0.15689219382767766,0.15558513132924245,0.06313558007106394,0.2671957671957672,0.5269320980639599,0.01681512783665077,0.5155969627311945,0.5375911788841542,0.38710393325822645,0.1650196510915548,0.2741837159660303,0.5018380205752788,0.8995081801377195,0.10616456980577996,0.8251396729280599,0.9620261983033103,0.6128960667417735,0.16501965109155478,0.49816022467356047,0.7275194267700598,0.10049181986228056,0.10616456980577992,0.03702690176439021,0.17387527998888938
shuffled_late24_28_32,0.2,by earliest stop,9,0.15121405717048048,0.199424689727187,0.0400213702565853,0.2927738907453819,0.20943175750098972,0.20661018330451691,0.08551236361104782,0.3530927068540253,0.5291088501652546,0.017251360898661215,0.5171682403303794,0.5394103780960389,0.37096133853182345,0.11684340110054425,0.29787699158111175,0.4544055317733762,0.860992775492019,0.14134521970619923,0.763947066886893,0.9480691335187602,0.6290386614681764,0.11684340110054427,0.5400882915054583,0.7017004712522453,0.13900722450798095,0.1413452197061992,0.05202098441854854,0.23622557771934347
shuffled_late24_28_32,0.3,by earliest stop,9,0.29601933081276605,0.31809892640452214,0.1015770465726606,0.5168512916216648,0.34151797776727033,0.3083909330997578,0.153624211364732,0.5527146345553251,0.5227493234772521,0.023955102733245564,0.5067570827116668,0.537977246560792,0.3409663421365712,0.07583355959809614,0.29044985263953305,0.388757734998465,0.7495323212151137,0.23835976947425233,0.5877647922231667,0.8961829824997511,0.6590336578634287,0.07583355959809615,0.6110522431464388,0.7098873011323691,0.25046767878488635,0.23835976947425233,0.10552428611126154,0.4158887376414186
