model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
baseline32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.018098626310284485,0.06259275115670133,0.5987415009578183,0.9721481296199236,0.02785187038007628
baseline32,by earliest stop,realized_fpr_at_most,0.05,True,0.05,0.03700597553738469,0.10675815180578432,0.5127624657041552,0.9471832947486334,0.05281670525136661
baseline32,by earliest stop,realized_fpr_at_most,0.1,True,0.1,0.08092236286633568,0.16187706785518519,0.5212446240466944,0.9154581935799576,0.08454180642004237
baseline32,by earliest stop,catch_rate_at_least,0.25,True,0.2,0.1970869804910552,0.3050114708315991,0.49055715966435554,0.8349540189280741,0.16504598107192595
baseline32,by earliest stop,catch_rate_at_least,0.5,False,0.3,0.3485906518390955,0.4604923404234855,0.4235109197633571,0.7223091803733861,0.27769081962661396
baseline32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.3485906518390955,0.4604923404234855,0.4235109197633571,0.7223091803733861,0.27769081962661396
late24_28_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.031463163008154514,0.07881712740088516,0.6541007618260031,0.9716751466743426,0.028324853325657238
late24_28_32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.047368362317428525,0.09851312665828792,0.6417613094437133,0.9624948656365747,0.03750513436342528
late24_28_32,by earliest stop,realized_fpr_at_most,0.1,True,0.075,0.09169418238178847,0.16101386594359618,0.6052234238452179,0.9309092520413136,0.0690907479586864
late24_28_32,by earliest stop,catch_rate_at_least,0.25,True,0.15,0.18114145878435634,0.2833465370279179,0.535445635135841,0.85894845816055,0.14105154183944985
late24_28_32,by earliest stop,catch_rate_at_least,0.5,False,0.3,0.3796930097297952,0.48873536412444163,0.4741067954913771,0.7018475984792676,0.2981524015207324
late24_28_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.3796930097297952,0.48873536412444163,0.4741067954913771,0.7018475984792676,0.2981524015207324
shuffled_late24_28_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.0249148512306407,0.046286045659748726,0.4798875980220313,0.9739068832894545,0.026093116710545473
shuffled_late24_28_32,by earliest stop,realized_fpr_at_most,0.05,True,0.05,0.04022293810069701,0.07136223242476779,0.3755454912583935,0.9601364754921258,0.03986352450787411
shuffled_late24_28_32,by earliest stop,realized_fpr_at_most,0.1,True,0.1,0.06696562351061501,0.10598259161171818,0.3457659552816566,0.9355874517209704,0.0644125482790296
shuffled_late24_28_32,by earliest stop,catch_rate_at_least,0.25,True,0.3,0.29601933081276605,0.34151797776727033,0.3409663421365712,0.7495323212151137,0.25046767878488635
shuffled_late24_28_32,by earliest stop,catch_rate_at_least,0.5,False,0.3,0.29601933081276605,0.34151797776727033,0.3409663421365712,0.7495323212151137,0.25046767878488635
shuffled_late24_28_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.29601933081276605,0.34151797776727033,0.3409663421365712,0.7495323212151137,0.25046767878488635
