comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.01,0.01,10,0.008468613086260146,-0.010380540293040292,0.034620658263305217,4,0.009257488679902465,-0.034010479797979803,0.0459482448726617,6,0.006080263072301313,-0.012094096954805206,0.02321341777511937,6,0.6839024390243903
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.025,0.025,10,0.011457026056201098,-0.011982304810604657,0.03971497373730581,4,0.01545820476570984,-0.03406624562050524,0.06787043751408603,5,0.006623867729077609,-0.01520750992043199,0.029969378921808433,6,0.5863414634146341
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.05,0.05,10,0.02930625754366788,-0.012425849303135882,0.0871052555168409,4,0.03911911303706436,-0.01693980243612597,0.10392581699346407,6,0.01770927265761964,-0.012364378172256036,0.054087905277507814,6,0.28585365853658534
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.075,0.075,10,0.042470570279393806,-0.0030105863499245824,0.10772879273504257,5,0.05742066609297848,0.00662056508287745,0.11975399942631179,6,0.029457391474492566,-0.0011675385164898718,0.06903226074875311,6,0.07512195121951219
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.1,0.1,10,0.05000105580693816,0.004881908532643827,0.11439630952380941,6,0.06392909726063885,0.019165290173540656,0.11819641877701967,6,0.03870217775466498,0.00836961757175517,0.07913354878955162,7,0.03219512195121951
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.15,0.15,10,0.03554087242265147,0.007201980345495418,0.07315275870072856,7,0.060177764118534906,0.023300561992473743,0.1010349437580675,9,0.042059879145208943,0.01267856434032043,0.0827816784444312,8,0.010731707317073172
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.2,0.2,10,0.035709952414077234,0.004656656698155977,0.0690085714285714,6,0.05392419973910848,0.010287519805902166,0.09547505992992802,8,0.04535310803045627,0.008172176662432092,0.08977496625504072,8,0.05365853658536585
same nominal alpha,late24_28_32,baseline32,by earliest stop,0.3,0.3,10,0.03390673765498013,0.0018218701750983457,0.0665180070187862,6,0.057300959561811506,0.019518707169736617,0.09645916292744885,8,0.06399903730561586,0.029521427555835887,0.10297388500419824,8,0.0224390243902439
independent FPR <= 0.05 operating points,late24_28_32,baseline32,by earliest stop,0.01,0.025,10,-0.010596229348524899,-0.026416390956007164,0.004205667429573455,2,-0.023963435572766194,-0.06975163503698238,0.010500884043272467,4,-0.009679248575579396,-0.03104457878109927,0.005852257512129547,3,0.36390243902439023
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.01,0.01,10,0.008285972850678733,-0.0190388134741076,0.03953725490196079,5,0.00984906878111746,-0.012182609180035654,0.032665596123506876,7,0.007037496434149573,-0.0075422223936194585,0.02277312518026259,7,0.32878048780487806
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.025,0.025,10,0.0037285478231317516,-0.027538606833446333,0.03309603174603174,5,0.009007047144876757,-0.015320163987747661,0.031785368594668746,7,0.0068379657079454285,-0.013408974358974353,0.02585190175274355,7,0.5121951219512195
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.05,0.05,10,0.016623823187811713,-0.014089287422285978,0.046162717770034764,5,0.019898428504108022,-0.004070348310693133,0.04135989858012169,7,0.012419418242339126,-0.009848391092229845,0.03122604312945332,7,0.14536585365853658
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.075,0.075,10,0.021170736265965818,-0.007613929092587633,0.046497538409303076,7,0.033833049562562764,0.010699467468805736,0.05438948076095642,8,0.02160437807628477,-4.3336704145526514e-05,0.038379101841082064,8,0.02048780487804878
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.1,0.1,10,0.024234666891374206,-0.002741043509336196,0.04765421535950495,8,0.033847765689347845,0.015391809909439235,0.0487458144579671,8,0.02351964811163594,0.0031198635796252506,0.038088992940798205,8,0.012682926829268294
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.15,0.15,10,0.017747884970123133,-0.009501205918264739,0.043419200415000275,8,0.03191056235102891,0.000886354237097186,0.05845555555555556,8,0.02847610273431775,0.012217485472607176,0.04369013803584291,8,0.07512195121951219
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.2,0.2,10,0.016907620340762382,-0.02831887598054742,0.059913889721389696,8,0.029417179912717438,-0.006543551258016239,0.060939256535947714,7,0.031973187878157464,0.014514585392070185,0.04953616713042421,9,0.14341463414634145
same nominal alpha,late24_28_32,baseline32,fixed horizon 13,0.3,0.3,10,0.025914282107180258,-0.024486288833715276,0.0787141322896774,8,0.03301530484015272,-0.0054878296146044555,0.07017862336174442,8,0.029535595855575563,0.0014209682840260686,0.0570655769447478,8,0.14926829268292682
independent FPR <= 0.05 operating points,late24_28_32,baseline32,fixed horizon 13,0.01,0.01,10,0.008285972850678733,-0.0190388134741076,0.03953725490196079,5,0.00984906878111746,-0.012182609180035654,0.032665596123506876,7,0.007037496434149573,-0.0075422223936194585,0.02277312518026259,7,0.32878048780487806
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.01,0.01,10,0.009292979242979246,-0.016624418498168494,0.04023127594627592,4,0.01829478763292151,-0.0033636363636363594,0.040826902237383965,7,0.011700034667158401,-0.0026955036838977923,0.028137181838670682,6,0.15707317073170732
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.025,0.025,10,0.007969412036234132,-0.019265713971486027,0.03436513017808743,5,0.022745185116888975,-0.003972701277480689,0.05055074131272155,6,0.01213139770934497,-0.005075174237302029,0.029694963262441854,7,0.14926829268292682
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.05,0.05,10,0.02512196904402787,-0.00925137003519356,0.06170678930546574,5,0.037649429385129184,0.003925319216505824,0.07174905510480055,7,0.022841355051529486,0.0030384828282828172,0.041885418019956135,7,0.07121951219512195
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.075,0.075,10,0.038979565194091736,0.004140986767098676,0.07715062224132065,7,0.04971245620505256,0.017342491855676444,0.086023141762452,8,0.029822099575880508,0.010876751097178684,0.04704733351875755,8,0.024390243902439025
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.1,0.1,10,0.05111779905492244,0.011882583099090455,0.1009574046780573,8,0.061103190116171865,0.026132511729874807,0.10401733153031327,8,0.03869774409408485,0.020748502264019475,0.05490048480545819,8,0.012682926829268294
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.15,0.15,10,0.03969963497764788,-0.0033835030329148097,0.1050568165494636,7,0.06588966302647845,0.022427127614891306,0.11972908975659222,9,0.04072019975276771,0.0224143243571619,0.06072636382486116,10,0.018536585365853658
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.2,0.2,10,0.04293203894782087,-0.023367047769702002,0.13162527251164263,6,0.06409200319626283,0.004372125207449776,0.1369406209150325,8,0.043180500515636405,0.014796993038225384,0.07347840703177821,8,0.09073170731707317
same nominal alpha,late24_28_32,baseline32,fixed horizon 25,0.3,0.3,10,0.04917983220748641,-0.04073685779498287,0.17507232954545449,6,0.07425799202300216,0.0035551431232541627,0.16614614125535263,8,0.04951325916364454,0.008303968856926235,0.09414995267072346,8,0.09268292682926829
