model,alpha,eval_time,n_tasks,roc_auc_max_score_mean,roc_auc_max_score_std_task,roc_auc_max_score_ci_low,roc_auc_max_score_ci_high,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
baseline32,0.01,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6333729769098473,0.7367495616362626,0.02761221899016016,0.03218922227427194,0.009199467787114845,0.04858143086080584,0.08093215010141988,0.06561899817564892,0.04284039215686274,0.12350726588911416,0.5266599655556299,0.027294590559365766,0.512049632294894,0.5456832498693552,0.5949742438193488,0.19616171290161905,0.45454776792712437,0.707857453836878,0.9634151670764469,0.033415780732203894,0.9424413881604689,0.9838388919479264,0.4050257561806511,0.19616171290161905,0.2929545032006896,0.5420217775605596,0.0365848329235532,0.033415780732203894,0.016215809892243353,0.05785076486735591
baseline32,0.025,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6340182659201009,0.7376326135524299,0.04667706142494521,0.0564809875983499,0.015216048851216529,0.08360358767647144,0.11415307435408854,0.0795729958159103,0.0673288217878583,0.16584759358288767,0.5337380064645716,0.031463083395430726,0.5161234859731912,0.555303622234552,0.5779960497999554,0.18300447100948644,0.44994876239492965,0.6848038892509076,0.9476556554285661,0.044656104973477995,0.9191684910910813,0.9744112039109819,0.42200395020004455,0.1830044710094864,0.3155211750003973,0.5525123883600705,0.05234434457143391,0.04465610497347801,0.025997417234028593,0.0806797018066737
baseline32,0.05,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6333872720453426,0.737231005884275,0.07122412563524472,0.07751972242578445,0.027466282497989814,0.12166085631250616,0.1629043938369496,0.10994598008369116,0.09918072638146168,0.23461380936648424,0.5458401341008525,0.039395366735348436,0.5231284023052394,0.5722471409472879,0.5401748646921305,0.1701158714187781,0.422676746692624,0.6406415822679716,0.923228760519241,0.05944547173529028,0.8849205820200258,0.9583485713308398,0.4598251353078695,0.1701158714187781,0.3591037116742709,0.5776220314607432,0.07677123948075903,0.05944547173529027,0.041506428544249144,0.11439491663366566
baseline32,0.075,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6331152289307695,0.7368226833319721,0.09842150065779906,0.10504786239487689,0.03810462208523183,0.16780096656611337,0.20918926690843526,0.13752860719638646,0.12782892973856208,0.29749294130452597,0.5553838831253181,0.04519252537019558,0.5288040414576574,0.5844751134240167,0.5155963212367968,0.1540117913659739,0.4078907522890786,0.6076545910270501,0.8991674663311308,0.07194666188684334,0.8544228671379933,0.9419626421354366,0.4844036787632032,0.1540117913659739,0.3923441515818843,0.593023290909351,0.10083253366886913,0.07194666188684334,0.058170802797750616,0.1459503710376801
baseline32,0.1,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6339398430026824,0.7381745648904942,0.12630618992437498,0.13345903315789717,0.04953696851629958,0.21488748518638218,0.25119657323744543,0.16020625866953206,0.15611623885918002,0.3535440789231052,0.5624451916565352,0.04850099124217148,0.5334470732145643,0.5939637005961366,0.5175916243877413,0.1650835228618225,0.40311138792808504,0.6171099305872273,0.8764672373315765,0.08568649913916838,0.8217994175326095,0.9275623099361252,0.4824083756122588,0.16508352286182248,0.38222109014306765,0.5966332094394992,0.12353276266842347,0.0856864991391684,0.07289100972849957,0.1777013062792532
baseline32,0.15,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6326666100347115,0.7369314737932792,0.20375497726010638,0.22260119366947256,0.07875938710848772,0.3518255644559688,0.3453014250005122,0.20687098391582556,0.22176228532792425,0.47740633441412084,0.570773223870203,0.05701148841513099,0.5358314092150824,0.60588542146987,0.5170130811987779,0.15507853465644342,0.40958734055993623,0.6073547977218807,0.8364861611631602,0.10730221918705472,0.7685290794252495,0.8992434731277795,0.48298691880122213,0.1550785346564434,0.3913837410422555,0.5953044768511452,0.16351383883683981,0.10730221918705475,0.09995749630928495,0.2322464041010087
baseline32,0.2,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.6330178758691472,0.7381803746778832,0.2679859202092344,0.27455630697954325,0.1106058548497573,0.446999609546758,0.42132504183143127,0.23887660080790746,0.27478763015551044,0.572180315895602,0.5766695608110984,0.06152745618438256,0.5384230381733465,0.6146539281250641,0.46254129552651213,0.1556376650082585,0.36053213930271155,0.5513354149260745,0.7843007267539434,0.13648711799584556,0.6960058449234715,0.8658223091267641,0.5374587044734879,0.1556376650082585,0.44743277104804424,0.6400017148625421,0.21569927324605653,0.13648711799584556,0.13421296647154773,0.30213563811597427
baseline32,0.3,by earliest stop,10,0.6810551420695801,0.08487623196174213,0.633100856887166,0.738210742525589,0.3679601237635312,0.32572688939989963,0.17510477626878537,0.5775941535262121,0.5408897634219134,0.25834498118566396,0.3844279006768155,0.701382216459729,0.5864648198291912,0.06524805665108308,0.5474361020554073,0.6277409941993883,0.4937832535194343,0.119005392774977,0.42365492725929005,0.5719001736316207,0.6958368956251497,0.17530616763253337,0.5837992090465487,0.8007898970921993,0.5062167464805656,0.119005392774977,0.42909485145264037,0.5750107914939082,0.3041631043748504,0.17530616763253337,0.19732007151344608,0.41713281578721106
baseline32,0.01,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5219097103057823,0.6211893506387683,0.03240435071464483,0.047443445493665484,0.0050162698412698405,0.06448666056166055,0.05706637777368,0.05476772627010222,0.025118300653594765,0.09212641936607453,0.5123310135295175,0.014205088037650195,0.5037011808350962,0.5212877005347594,0.38554502413772895,0.17024367803594803,0.26141593402590996,0.4948418696687921,0.9602022181559707,0.041929296016820994,0.9325853408677192,0.9844712235476942,0.614454975862271,0.17024367803594806,0.5045476624824451,0.7391913446385382,0.039797781844029295,0.041929296016820994,0.015558119658119655,0.06715909638198174
baseline32,0.025,fixed horizon 13,10,0.5691510064788395,0.08052968850895423,0.5228135599501886,0.621807422195733,0.05176042904966864,0.07298883447635234,0.006993650793650792,0.10107263772175532,0.07910677566742474,0.07995285297896283,0.03294751782531194,0.13142204806687566,0.513673173308878,0.013477415913669393,0.5054983989460656,0.5222219320687599,0.3829134482190776,0.1326818371674343,0.2891898588413011,0.47174256427728645,0.9449133113787271,0.06019368354287805,0.9050704513637702,0.9793680995475113,0.6170865517809224,0.1326818371674343,0.5282046651715314,0.7123279314835805,0.055086688621272785,0.06019368354287805,0.02031274544477383,0.09439343650461544
