model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
baseline32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.02761221899016016,0.08093215010141988,0.5949742438193488,0.9634151670764469,0.0365848329235532
baseline32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.04667706142494521,0.11415307435408854,0.5779960497999554,0.9476556554285661,0.05234434457143391
baseline32,by earliest stop,realized_fpr_at_most,0.1,True,0.075,0.09842150065779906,0.20918926690843526,0.5155963212367968,0.8991674663311308,0.10083253366886913
baseline32,by earliest stop,catch_rate_at_least,0.25,True,0.1,0.12630618992437498,0.25119657323744543,0.5175916243877413,0.8764672373315765,0.12353276266842347
baseline32,by earliest stop,catch_rate_at_least,0.5,True,0.3,0.3679601237635312,0.5408897634219134,0.4937832535194343,0.6958368956251497,0.3041631043748504
baseline32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.3679601237635312,0.5408897634219134,0.4937832535194343,0.6958368956251497,0.3041631043748504
baseline32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.03240435071464483,0.05706637777368,0.38554502413772895,0.9602022181559707,0.039797781844029295
baseline32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.01,0.03240435071464483,0.05706637777368,0.38554502413772895,0.9602022181559707,0.039797781844029295
baseline32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.075,0.09502661204569382,0.13651667486221236,0.36643411498827433,0.903594031909042,0.09640596809095792
baseline32,fixed horizon 13,catch_rate_at_least,0.25,True,0.2,0.22947668733705315,0.3024675630544798,0.3348295657695429,0.7934564125154389,0.2065435874845611
baseline32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.3377177049994481,0.42578256500092204,0.27830180028186546,0.6833880208702723,0.3166119791297276
baseline32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.3377177049994481,0.42578256500092204,0.27830180028186546,0.6833880208702723,0.3166119791297276
baseline32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.029317776341305744,0.04606841436679164,0.22846624830796908,0.9633985862273855,0.03660141377261457
baseline32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.025,0.046416345343640884,0.0680839018993177,0.3182584990321883,0.947795851578667,0.05220414842133299
baseline32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.075,0.08249238773740207,0.13477959104226853,0.3180284045417552,0.9060059077591329,0.09399409224086706
baseline32,fixed horizon 25,catch_rate_at_least,0.25,True,0.2,0.21701893118439028,0.29768766672813324,0.36993245433849103,0.8089720265808866,0.19102797341911334
baseline32,fixed horizon 25,catch_rate_at_least,0.5,False,0.3,0.32256858907870384,0.420992123056119,0.36369437388226117,0.7251643455105483,0.27483565448945163
baseline32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.32256858907870384,0.420992123056119,0.36369437388226117,0.7251643455105483,0.27483565448945163
baseline32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.026923778998778996,0.05354715614563484,0.4338639430306097,0.966702637775153,0.03329736222484699
baseline32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.025,0.04329438707315321,0.07770919028008276,0.44287368281333667,0.9513209412528886,0.04867905874711147
baseline32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.075,0.08147195571844065,0.1493335955907964,0.4493403453564009,0.9115178537194764,0.08848214628052355
baseline32,fixed horizon 37,catch_rate_at_least,0.25,True,0.15,0.1462452781834776,0.25220226401950535,0.4670080004720347,0.8625998630291735,0.1374001369708266
baseline32,fixed horizon 37,catch_rate_at_least,0.5,False,0.3,0.3361468596404392,0.49756411887639074,0.48041328303212927,0.720626216867799,0.2793737831322009
baseline32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.3361468596404392,0.49756411887639074,0.48041328303212927,0.720626216867799,0.2793737831322009
late24_28_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.03608083207642031,0.09018963878132233,0.5712653400570935,0.9573349040041454,0.04266509599585451
late24_28_32,by earliest stop,realized_fpr_at_most,0.05,True,0.01,0.03608083207642031,0.09018963878132233,0.5712653400570935,0.9573349040041454,0.04266509599585451
late24_28_32,by earliest stop,realized_fpr_at_most,0.1,True,0.025,0.058134087481146304,0.12961127911979836,0.5678805654296611,0.9410317876994885,0.05896821230051151
late24_28_32,by earliest stop,catch_rate_at_least,0.25,True,0.075,0.14089207093719286,0.26660993300141367,0.5392953489090356,0.8697100748566383,0.13028992514336168
late24_28_32,by earliest stop,catch_rate_at_least,0.5,True,0.3,0.40186686141851136,0.5981907229837249,0.4010347912834115,0.6318378583195338,0.3681621416804662
late24_28_32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.40186686141851136,0.5981907229837249,0.4010347912834115,0.6318378583195338,0.3681621416804662
late24_28_32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.04069032356532356,0.06691544655479746,0.39180589539689586,0.9531647217218211,0.04683527827817886
late24_28_32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.01,0.04069032356532356,0.06691544655479746,0.39180589539689586,0.9531647217218211,0.04683527827817886
late24_28_32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.05,0.08734637325849663,0.129070716290696,0.3553178144052812,0.9107851729181343,0.0892148270818656
late24_28_32,fixed horizon 13,catch_rate_at_least,0.25,True,0.15,0.19572958665358237,0.27163765819110647,0.3254766043191143,0.8136245702986068,0.18637542970139317
late24_28_32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.36363198710662836,0.4587978698410747,0.26193757911752363,0.6538524250146969,0.34614757498530324
late24_28_32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.36363198710662836,0.4587978698410747,0.26193757911752363,0.6538524250146969,0.34614757498530324
late24_28_32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.03861075558428499,0.06436320199971315,0.2970329594017094,0.951698551560227,0.04830144843977298
late24_28_32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.01,0.03861075558428499,0.06436320199971315,0.2970329594017094,0.951698551560227,0.04830144843977298
late24_28_32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.05,0.08924640190034737,0.13982745917593786,0.3142348249687282,0.9042462243530641,0.09575377564693585
late24_28_32,fixed horizon 25,catch_rate_at_least,0.25,True,0.15,0.19713843886465837,0.29252906208808843,0.36353262896238114,0.8135313083505782,0.18646869164942184
late24_28_32,fixed horizon 25,catch_rate_at_least,0.5,False,0.3,0.3717484212861903,0.4952501150791212,0.3706763613361649,0.6756510863469039,0.3243489136530962
late24_28_32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.3717484212861903,0.4952501150791212,0.3706763613361649,0.6756510863469039,0.3243489136530962
late24_28_32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.0389003896430367,0.06313540475751428,0.4111466207117288,0.9576787965727114,0.042321203427288595
late24_28_32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.01,0.0389003896430367,0.06313540475751428,0.4111466207117288,0.9576787965727114,0.042321203427288595
late24_28_32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.05,0.07989964285276335,0.14439676480832667,0.4235460341036641,0.9172960539277983,0.08270394607220162
