variant,task,auc_mean,auc_sd_train_seed
baseline32,0,0.7633333333333333,0.07147260547463855
baseline32,1,0.606984126984127,0.08865502114374854
baseline32,2,0.604816639299398,0.06735017559864728
baseline32,3,0.6608,0.11649274655531125
baseline32,4,0.6525735294117646,0.017535647084870376
baseline32,5,0.6214995483288166,0.1557106516814109
baseline32,6,0.6175213675213675,0.060481315589141896
baseline32,7,0.8698752228163992,0.023377677448491996
baseline32,8,0.6425,0.052500000000000005
baseline32,9,0.7706476530005942,0.01855317290076764
late24_28_32,0,0.793888888888889,0.047793924920006996
late24_28_32,1,0.6323809523809524,0.07739523677680019
late24_28_32,2,0.5626710454296662,0.06170939832540314
late24_28_32,3,0.7205333333333334,0.06402666111342466
late24_28_32,4,0.7064950980392157,0.022463606347822743
late24_28_32,5,0.6513098464317976,0.07403550673771585
late24_28_32,6,0.6137820512820512,0.07557580847789479
late24_28_32,7,0.9025549613784908,0.01289514819620364
late24_28_32,8,0.7583333333333333,0.010408329997330698
late24_28_32,9,0.6922162804515746,0.014949192662399382
shuffled_late24_28_32,0,0.7616666666666667,0.0926012958872607
shuffled_late24_28_32,1,0.6501587301587302,0.07817262909440463
shuffled_late24_28_32,2,0.60207991242474,0.05255370756904283
shuffled_late24_28_32,3,0.7397333333333332,0.0760182434244132
shuffled_late24_28_32,4,0.5588235294117647,0.07727150572420477
shuffled_late24_28_32,5,0.6757000903342366,0.09567329669250448
shuffled_late24_28_32,6,0.5080128205128206,0.11972129933089593
shuffled_late24_28_32,7,0.7831253713606654,0.1888501858482153
shuffled_late24_28_32,8,0.6741666666666667,0.07434435643230318
shuffled_late24_28_32,9,0.714795008912656,0.022335051846954813
