comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,layer20_32,baseline32,by earliest stop,0.01,0.01,10,0.010822084160887558,-0.006567805977843384,0.033025894755875015,2,0.012048704973412518,-0.02174324322180315,0.05167305646350846,5,0.004114031917975505,-0.012278185772409378,0.026630270391228256,4,0.6019512195121951
same nominal alpha,layer20_32,baseline32,by earliest stop,0.025,0.025,10,0.016617315022257752,-0.009168958854892799,0.05351199531383946,4,0.014227354603107761,-0.031491982491851006,0.06993358873598784,3,0.004402625927339779,-0.017391333155444416,0.0332883468451021,3,0.6702439024390244
same nominal alpha,layer20_32,baseline32,by earliest stop,0.05,0.05,10,0.030492078227621122,-0.007254924449886109,0.08121790281038638,4,0.012809091205657245,-0.04240551909787864,0.07986564603404586,4,0.0014958535320835297,-0.025424653343979937,0.032795075990541,4,0.7560975609756098
same nominal alpha,layer20_32,baseline32,by earliest stop,0.075,0.075,10,0.03775865292360764,-0.010160004584310904,0.10464426888880685,5,0.005313551841534464,-0.05353787622627247,0.07898556969010956,4,0.009160644378180174,-0.020000001000929274,0.04227416281861176,4,0.9102439024390244
same nominal alpha,layer20_32,baseline32,by earliest stop,0.1,0.1,10,0.04074989775430547,-0.016317557067257637,0.11458249964253824,5,-0.003359846082558898,-0.07199189263705394,0.07679690399063699,4,0.0045967897844210095,-0.034913401973095615,0.04880756442502817,4,0.9395121951219512
same nominal alpha,layer20_32,baseline32,by earliest stop,0.15,0.15,10,0.039695680692308166,-0.01525696320336797,0.1252983026650866,5,0.009567008596997311,-0.05377678102824123,0.0958776286974261,4,0.011993693215536533,-0.027910672884116628,0.058580233882292,6,0.9063414634146342
same nominal alpha,layer20_32,baseline32,by earliest stop,0.2,0.2,10,0.03570741040652707,-0.02020520822578399,0.12845282399022606,4,0.004430054327033658,-0.04955572982545714,0.08383945978270696,3,0.011691512613592664,-0.024131802946447418,0.05661502030099885,5,0.9765853658536585
same nominal alpha,layer20_32,baseline32,by earliest stop,0.3,0.3,10,0.01031209357716371,-0.03825097920903368,0.06357635147107087,6,-0.0038841731393342792,-0.04432130524600702,0.04252097465252787,4,0.015033706288604672,-0.01873844489228574,0.05928657252342025,5,0.8790243902439024
independent FPR <= 0.05 operating points,layer20_32,baseline32,by earliest stop,0.01,0.025,10,-0.007252546948678945,-0.021651990475563453,0.010378260110510342,1,-0.035817876315000025,-0.06842662779178636,0.0021746471524921747,1,-0.01750137821968249,-0.032873367760105084,0.0019419636652981463,1,0.09658536585365854
same nominal alpha,layer20_32,baseline32,fixed horizon 13,0.01,0.01,10,0.0033575422211424405,-0.020865348847163023,0.038346323404725546,3,-0.0012451684832611616,-0.04595484172084319,0.05369091758484206,2,0.0023877291800717343,-0.029310882572325885,0.04510262661087911,3,0.9609756097560975
