model,alpha,eval_time,n_tasks,roc_auc_max_score_mean,roc_auc_max_score_std_task,roc_auc_max_score_ci_low,roc_auc_max_score_ci_high,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
baseline32,0.01,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6243422991187243,0.7257052596825629,0.018510937975645982,0.021857471950207406,0.006256230820680224,0.032951569524284824,0.08807663933526073,0.055077050193444894,0.054150105324683,0.12263713347767506,0.5347828506798074,0.020321980285694114,0.5218369253800361,0.5470651806171715,0.5661675889968052,0.12162376463285354,0.4934166259359687,0.6440373492673594,0.9659542561662828,0.022715416196342073,0.951755884816407,0.9794437422916789,0.4338324110031947,0.12162376463285357,0.3558148135872285,0.5058743122094987,0.034045743833717126,0.022715416196342077,0.02045167340395756,0.048531116365408626
baseline32,0.025,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6238118953826913,0.7264752232130195,0.03658556908521248,0.0458056427873055,0.011813075667659784,0.06740359339248242,0.1359432206236733,0.07584418225364335,0.08910347805858707,0.18357656187043955,0.5496788257692303,0.024859534497218033,0.5334846951891673,0.5641530395018254,0.5559564137494714,0.10644756107797011,0.49030812966593135,0.6222875635073585,0.9443388460286248,0.03408647170046471,0.9229508481336277,0.9649892447767277,0.44404358625052864,0.10644756107797013,0.3779898535842021,0.5097254768386904,0.055661153971375124,0.034086471700464714,0.035013488819346024,0.07676747023120495
baseline32,0.05,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6235910870290449,0.7269255679148974,0.06344778263962937,0.0740394200514703,0.02276656653777734,0.11307762231974555,0.20795310534111716,0.10827257350483864,0.14179346183600713,0.27370987537712127,0.5722526613507438,0.034401337214684566,0.5499848126478842,0.5922057811871615,0.5557235906761453,0.09525610493451138,0.493934915878519,0.6110330306416614,0.909395065127703,0.0528608598923906,0.8761579143237838,0.9422068407004797,0.4442764093238547,0.09525610493451138,0.3879668815326236,0.507259378809567,0.09060493487229693,0.05286085989239057,0.05814522047125289,0.12400488148046747
baseline32,0.075,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.623773634560086,0.7257459396591363,0.10131094868537407,0.11894377753514047,0.03683043221124781,0.18285444143311444,0.2974065767583404,0.1498448781564115,0.20467691824421133,0.3891361761082953,0.5980478140364832,0.047199011533784765,0.5681493072794165,0.6265359301443949,0.6111389278545089,0.09331923765773985,0.5512091823514818,0.6653590571141208,0.8797377011928174,0.07092131242808788,0.8351117247899573,0.9226551674237101,0.38886107214549115,0.09331923765773983,0.33475059841685023,0.4501127128711843,0.1202622988071826,0.07092131242808787,0.07711826966157517,0.1653733781071155
baseline32,0.1,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6242117427865667,0.7265633195917905,0.13076831589873256,0.13740363971625386,0.05570103132063823,0.22430654825962004,0.34775901407066134,0.1629853584623907,0.24649776507058363,0.4466952110355618,0.6084953490859644,0.055816561809780965,0.5738109196732782,0.6429008894779674,0.5835870786598185,0.08475313598423503,0.5299977561986426,0.6343991353588188,0.8476180375083885,0.0830514040988753,0.7964335298801747,0.8989826896504816,0.41641292134018143,0.084753135984235,0.36559593661216727,0.470576283464315,0.15238196249161146,0.08305140409887532,0.1010866293168384,0.20361532465950063
baseline32,0.15,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6236285582145024,0.7265608725494522,0.20228738471283378,0.20444310223502923,0.09156442610889104,0.34269820592704797,0.43198299613772484,0.19953859077131614,0.308387834817327,0.5576228011086276,0.6148478057124456,0.0658330454057328,0.5747993263992743,0.6566192964934929,0.5737157715214678,0.11551411065725749,0.5100764490763035,0.650548709262017,0.7972487573097762,0.11604603632576353,0.7235967133991611,0.8671076280666944,0.4262842284785321,0.11551411065725749,0.3481262027665778,0.4904382704473238,0.20275124269022368,0.11604603632576355,0.13389643785137034,0.2772738832661431
baseline32,0.2,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6245279016517865,0.7269729674392484,0.279200515238926,0.25224469172919667,0.14048559694721682,0.44688915653251915,0.5105092680781873,0.21757310773714025,0.3774945577928145,0.6451637964602802,0.6156543764196306,0.07498607589076804,0.5716617361209779,0.6635314471873393,0.5391895555027416,0.11813307865553481,0.47362124376131093,0.6189517665912403,0.7432321368744293,0.14208566866325598,0.6528360410677024,0.8299170763328909,0.46081044449725833,0.11813307865553478,0.38216208792310646,0.5261254931054763,0.2567678631255705,0.142085668663256,0.1734770064045735,0.347156948461166
baseline32,0.3,by earliest stop,10,0.6732961269119979,0.08280362080889425,0.6240544429996164,0.7263284971057551,0.42479417100958133,0.3066201063468207,0.24427266002335388,0.6229565570878522,0.6455538603661249,0.2186383827622891,0.5073667484344472,0.780189182724379,0.6103798446782719,0.0921300816329787,0.5558187960766765,0.6691280494928359,0.4629900422322577,0.12729123509022416,0.39266645543427825,0.5512136754206935,0.6315936333619162,0.1711946425160781,0.5247314324628847,0.7364521262709556,0.5370099577677423,0.12729123509022416,0.4508250979212627,0.606091028092628,0.36840636663808374,0.17119464251607805,0.26223565050488057,0.475167279261302
baseline32,0.01,fixed horizon 13,10,0.5602111146562189,0.08664235774337063,0.5031038027550798,0.6112986853409804,0.022890732162944138,0.023346693102830173,0.009586673094858217,0.03838143112048613,0.059032013987205624,0.0513534693754423,0.02969897610034446,0.09233888329662293,0.5180706409121307,0.015950507952625977,0.5086032861695874,0.5281270335194778,0.35893954889435853,0.18909032378600263,0.2278038481753245,0.47581584707179914,0.9651384646927956,0.030031829341225374,0.9452462648979649,0.9823225860050163,0.6410604511056414,0.1890903237860026,0.5249342734324418,0.7688277879527877,0.034861535307204365,0.03003182934122534,0.01760950300382601,0.05460110988691566
baseline32,0.025,fixed horizon 13,10,0.5602111146562189,0.08664235774337063,0.5043650138066732,0.6108544209719318,0.037268821872705346,0.036758202626671975,0.015980000399510617,0.060903333368283755,0.08896868101655989,0.07308279296358082,0.046267441736654605,0.13702417071765216,0.5258499295719272,0.022051442828179373,0.512456125309488,0.5398751557487379,0.3879775714542511,0.23672069265496973,0.24940917927422537,0.5456040501275569,0.9424118142191011,0.04833177857455105,0.9108017567305138,0.9701864792890872,0.612022428545749,0.23672069265496973,0.45515978227186155,0.7500425059276636,0.0575881857808989,0.048331778574551044,0.030342255818555895,0.08916345808169128
