model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
baseline32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.018510937975645982,0.08807663933526073,0.5661675889968052,0.9659542561662828,0.034045743833717126
baseline32,by earliest stop,realized_fpr_at_most,0.05,True,0.025,0.03658556908521248,0.1359432206236733,0.5559564137494714,0.9443388460286248,0.055661153971375124
baseline32,by earliest stop,realized_fpr_at_most,0.1,True,0.05,0.06344778263962937,0.20795310534111716,0.5557235906761453,0.909395065127703,0.09060493487229693
baseline32,by earliest stop,catch_rate_at_least,0.25,True,0.075,0.10131094868537407,0.2974065767583404,0.6111389278545089,0.8797377011928174,0.1202622988071826
baseline32,by earliest stop,catch_rate_at_least,0.5,True,0.2,0.279200515238926,0.5105092680781873,0.5391895555027416,0.7432321368744293,0.2567678631255705
baseline32,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.42479417100958133,0.6455538603661249,0.4629900422322577,0.6315936333619162,0.36840636663808374
baseline32,fixed horizon 13,realized_fpr_at_most,0.01,False,0.01,0.022890732162944138,0.059032013987205624,0.35893954889435853,0.9651384646927956,0.034861535307204365
baseline32,fixed horizon 13,realized_fpr_at_most,0.05,True,0.025,0.037268821872705346,0.08896868101655989,0.3879775714542511,0.9424118142191011,0.0575881857808989
baseline32,fixed horizon 13,realized_fpr_at_most,0.1,True,0.075,0.0879085477612183,0.16461450209739728,0.30533710512529044,0.8853551940347204,0.11464480596527955
baseline32,fixed horizon 13,catch_rate_at_least,0.25,True,0.2,0.22046905646585815,0.3084040309799267,0.2542133842065267,0.7735853757480122,0.22641462425198772
baseline32,fixed horizon 13,catch_rate_at_least,0.5,False,0.3,0.37789237029506667,0.45106424145479557,0.20583679006267994,0.6421793828370356,0.3578206171629644
baseline32,fixed horizon 13,catch_rate_at_least,0.75,False,0.3,0.37789237029506667,0.45106424145479557,0.20583679006267994,0.6421793828370356,0.3578206171629644
baseline32,fixed horizon 25,realized_fpr_at_most,0.01,False,0.01,0.019115079425387326,0.052201138956563364,0.38201798328177344,0.9661135640712362,0.033886435928763815
baseline32,fixed horizon 25,realized_fpr_at_most,0.05,True,0.025,0.030928633465628064,0.08220635630392993,0.36263424893644886,0.9443478087649251,0.05565219123507488
baseline32,fixed horizon 25,realized_fpr_at_most,0.1,True,0.075,0.0736559419749788,0.16126141310612824,0.37063905091535043,0.8917192468335164,0.10828075316648356
baseline32,fixed horizon 25,catch_rate_at_least,0.25,True,0.15,0.16683341103603017,0.28916522400334127,0.48300661811407836,0.8370882688491739,0.16291173115082608
baseline32,fixed horizon 25,catch_rate_at_least,0.5,True,0.3,0.40742299584542846,0.539985239102479,0.4165376871255807,0.6696914739259536,0.33030852607404626
baseline32,fixed horizon 25,catch_rate_at_least,0.75,False,0.3,0.40742299584542846,0.539985239102479,0.4165376871255807,0.6696914739259536,0.33030852607404626
baseline32,fixed horizon 37,realized_fpr_at_most,0.01,False,0.01,0.015179048357471542,0.05170310488471465,0.45280734035266645,0.9689795926827186,0.031020407317281406
baseline32,fixed horizon 37,realized_fpr_at_most,0.05,True,0.05,0.04613677935040492,0.13686127600911024,0.4670286120849184,0.9164680779279928,0.0835319220720072
baseline32,fixed horizon 37,realized_fpr_at_most,0.1,True,0.075,0.06786236013308451,0.18955072239430867,0.5237977761960944,0.899167382316517,0.10083261768348295
baseline32,fixed horizon 37,catch_rate_at_least,0.25,True,0.15,0.16290914182162958,0.33715987153695115,0.5592917726489921,0.8408907106801189,0.1591092893198811
baseline32,fixed horizon 37,catch_rate_at_least,0.5,True,0.3,0.42072855674427734,0.6271274275278869,0.4832221800236235,0.6645367028448217,0.3354632971551781
baseline32,fixed horizon 37,catch_rate_at_least,0.75,False,0.3,0.42072855674427734,0.6271274275278869,0.4832221800236235,0.6645367028448217,0.3354632971551781
layer20_32,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.029333022136533538,0.10012534430867326,0.6684593414642402,0.9618402242483073,0.03815977575169263
layer20_32,by earliest stop,realized_fpr_at_most,0.05,True,0.01,0.029333022136533538,0.10012534430867326,0.6684593414642402,0.9618402242483073,0.03815977575169263
