model,alpha,eval_time,n_tasks,roc_auc_max_score_mean,roc_auc_max_score_std_task,roc_auc_max_score_ci_low,roc_auc_max_score_ci_high,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
lstm,0.01,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5425369840247176,0.6360025497056024,0.05189384470797968,0.13310524713880248,0.001388888888888889,0.14225029550827423,0.06742069778492742,0.11629059640613638,0.014798117956012694,0.15003146171395457,0.5077634265384738,0.016031389094476427,0.4977272770317323,0.5177348757382193,0.2937665007812523,0.34696628845168515,0.05932849756064042,0.5612908936301791,0.9437682110630726,0.10423366771242086,0.8712292430535059,0.9896541578571785,0.7062334992187476,0.3469662884516851,0.4260324804444175,0.9394470126434411,0.056231788936927506,0.10423366771242087,0.009880696011751233,0.128679744580138
lstm,0.025,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5420068785998061,0.6355271036545234,0.08287565769478092,0.17843586563172353,0.006286045822634802,0.2033367486338798,0.11143214608230664,0.16594009646723473,0.02576372866270999,0.22804711501271252,0.514278244193763,0.025338273608029226,0.4991331453884432,0.5303759690716603,0.33590523145495566,0.2840683758132143,0.1568643915078658,0.5444551322486064,0.9114552602300128,0.1472647167355601,0.8085513709076213,0.9820643555530786,0.6640947685450442,0.2840683758132143,0.45330321593915346,0.8429219820447118,0.08854473976998728,0.1472647167355601,0.018275481670125132,0.1937502696132873
lstm,0.05,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5419767938741277,0.6352464311829439,0.12211388781139003,0.2073651753680279,0.027735645907527657,0.2647555057857409,0.17012688786040828,0.1961637343639155,0.06166867121986629,0.3058710217976333,0.5240065000245091,0.03890479684586616,0.5008263274622176,0.5494284780671,0.4685108431302901,0.3098178260894941,0.274298741445154,0.6592001852071566,0.8745911131587935,0.1758653262632302,0.7540368882789555,0.9664413161623732,0.5314891568697099,0.3098178260894941,0.337544356471008,0.7211217378897409,0.12540888684120635,0.17586532626323023,0.03303346688027084,0.24200407392380704
lstm,0.075,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5424847694786542,0.6371899779707821,0.16608240169525032,0.21953022247026652,0.058957440826483,0.3175144804005298,0.2269015142319025,0.20842675097203472,0.1090168726735835,0.3657023211228169,0.530409556268326,0.03856946472229432,0.5067997055681879,0.5552860086030099,0.43705977112376376,0.24458659415303202,0.2828880695535244,0.5870508505217915,0.8422895006331093,0.18996254105614607,0.7130953131466655,0.9423963834569808,0.5629402288762362,0.244586594153032,0.4119304607290612,0.7116301045849075,0.1577104993668907,0.1899625410561461,0.05776387241003175,0.2922998670749378
lstm,0.1,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5432475420909105,0.6366569108477764,0.2019457518658693,0.24040732908164117,0.0795641376744594,0.3679141828935985,0.27289226627260277,0.21732868346889422,0.14782857023581292,0.4119050336018148,0.5354732572033668,0.045499674782632636,0.5070188046873683,0.563313318047193,0.4710097420063521,0.2344341580445652,0.3207325452266368,0.6097233734808423,0.8298560088191789,0.18519003003186232,0.6995476136076006,0.9288300672015564,0.528990257993648,0.23443415804456522,0.38987604313044516,0.6786102128241404,0.17014399118082119,0.18519003003186232,0.06997637449112845,0.29550455883714966
lstm,0.15,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5422585257043568,0.6369820518299667,0.2705027137473223,0.25620484000921057,0.12860788081589408,0.4430808454752916,0.358818333803982,0.22358694128995485,0.2254780461751503,0.502413145899925,0.5441578100283297,0.04866418070492298,0.5133208154285295,0.5735507203129183,0.4754606838911277,0.18695555518310114,0.36073472671857054,0.5930229594740809,0.7926695485648272,0.17896904962894006,0.6731689027288215,0.890734530609596,0.5245393161088723,0.18695555518310117,0.408335330899195,0.6401864190325867,0.20733045143517276,0.17896904962894006,0.10881501529763732,0.32862767017297556
lstm,0.2,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5410344407828674,0.637106112245565,0.34884382419327165,0.2738113370651016,0.18885096595943526,0.5256969676911714,0.45961904323555347,0.23741754634154275,0.3157763804939759,0.6124574890298218,0.5553876095211409,0.06399973168822995,0.5159755512835288,0.5944196760587702,0.4731895690152603,0.15576030135964167,0.37751761514901205,0.5724373499411854,0.7295719779187534,0.18606606377922635,0.6099787117399965,0.8393134216612985,0.5268104309847398,0.15576030135964167,0.4281174311972781,0.6205389891156061,0.27042802208124656,0.18606606377922633,0.15728321350131874,0.39227631064107943
lstm,0.3,fixed horizon 100,10,0.5890531192936532,0.0769877503363477,0.5424864610334212,0.6364217326496715,0.49805308812867166,0.27802241594210514,0.32784309985647236,0.6726156679240027,0.6248201184944352,0.23984370390316662,0.47035374786902767,0.7638667202485618,0.5633835151828819,0.07742163614303954,0.5167606379381785,0.6130608391480574,0.3780479983365899,0.15110616607668778,0.29483528493418026,0.48206059428206544,0.5809353784613117,0.2032852475475709,0.456657820369221,0.7098169177227505,0.6219520016634101,0.15110616607668778,0.5195220619136256,0.7044814877782791,0.4190646215386883,0.2032852475475709,0.29064967920158435,0.5419670567567249
lstm,0.01,fixed horizon 148,10,0.6145322643778557,0.1100041251573963,0.5494088541121679,0.684491313964078,0.04871129326047359,0.11831323752627035,0.0023224043715846993,0.12992258652094718,0.07031063388176999,0.10375935907569059,0.020890469416785205,0.14178322100862004,0.5107996703106481,0.016729615906742115,0.5006267069134375,0.5211138554807239,0.31430387703291435,0.2617418222821393,0.13573340605172904,0.5172221212399785,0.9448022659247469,0.09342530397669058,0.879207108958036,0.9880486073153466,0.6856961229670856,0.26174182228213927,0.47885934984149264,0.8629886361024753,0.05519773407525298,0.09342530397669056,0.011970064995747426,0.12122988316237135
lstm,0.025,fixed horizon 148,10,0.6145322643778557,0.1100041251573963,0.5496775413559031,0.6851204578122347,0.0778127664598762,0.16079416037330496,0.0065818000556008005,0.1863386404136501,0.1329324223984285,0.1603102019644719,0.04623851040928449,0.24079976002375456,0.5275598279692761,0.027998792495070948,0.5107274918770399,0.5452475362498819,0.4234929452103745,0.22812490024043375,0.2710912922227841,0.583410585838098,0.907184221310809,0.1431664352669851,0.8050136906748843,0.9781465768982648,0.5765070547896254,0.22812490024043372,0.4178790245656699,0.7309521064690492,0.09281577868919108,0.14316643526698508,0.021668771104633628,0.1954690684152309
