model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
lstm,fixed horizon 100,realized_fpr_at_most,0.01,False,0.01,0.05189384470797968,0.06742069778492742,0.2937665007812523,0.9437682110630726,0.056231788936927506
lstm,fixed horizon 100,realized_fpr_at_most,0.05,False,0.01,0.05189384470797968,0.06742069778492742,0.2937665007812523,0.9437682110630726,0.056231788936927506
lstm,fixed horizon 100,realized_fpr_at_most,0.1,True,0.025,0.08287565769478092,0.11143214608230664,0.33590523145495566,0.9114552602300128,0.08854473976998728
lstm,fixed horizon 100,catch_rate_at_least,0.25,True,0.1,0.2019457518658693,0.27289226627260277,0.4710097420063521,0.8298560088191789,0.17014399118082119
lstm,fixed horizon 100,catch_rate_at_least,0.5,True,0.3,0.49805308812867166,0.6248201184944352,0.3780479983365899,0.5809353784613117,0.4190646215386883
lstm,fixed horizon 100,catch_rate_at_least,0.75,False,0.3,0.49805308812867166,0.6248201184944352,0.3780479983365899,0.5809353784613117,0.4190646215386883
lstm,fixed horizon 148,realized_fpr_at_most,0.01,False,0.01,0.04871129326047359,0.07031063388176999,0.31430387703291435,0.9448022659247469,0.05519773407525298
lstm,fixed horizon 148,realized_fpr_at_most,0.05,True,0.01,0.04871129326047359,0.07031063388176999,0.31430387703291435,0.9448022659247469,0.05519773407525298
lstm,fixed horizon 148,realized_fpr_at_most,0.1,True,0.025,0.0778127664598762,0.1329324223984285,0.4234929452103745,0.907184221310809,0.09281577868919108
lstm,fixed horizon 148,catch_rate_at_least,0.25,True,0.075,0.17568397180487053,0.2947462227350513,0.5680423171371881,0.8435171961409503,0.15648280385904959
lstm,fixed horizon 148,catch_rate_at_least,0.5,True,0.2,0.40842664224757624,0.5666716752180927,0.4940159968032857,0.6959589787070788,0.3040410212929211
lstm,fixed horizon 148,catch_rate_at_least,0.75,False,0.3,0.5504672877027714,0.712307101102551,0.40397728884744477,0.5639547767049116,0.4360452232950883
lstm,fixed horizon 50,realized_fpr_at_most,0.01,False,0.01,0.05371928269254698,0.06852920557713318,0.27669723991268746,0.9452154170925542,0.05478458290744585
lstm,fixed horizon 50,realized_fpr_at_most,0.05,False,0.01,0.05371928269254698,0.06852920557713318,0.27669723991268746,0.9452154170925542,0.05478458290744585
lstm,fixed horizon 50,realized_fpr_at_most,0.1,True,0.025,0.08143046969984016,0.11351084181177759,0.26837267273905113,0.907806665409181,0.09219333459081894
lstm,fixed horizon 50,catch_rate_at_least,0.25,True,0.15,0.2157241648913916,0.28214927447170673,0.26765836447184316,0.7856867389056754,0.21431326109432464
