model,fold,heldout_task,alpha,eval_time,roc_auc_max_score_mean,roc_auc_max_score_std_cp_seed,realized_fpr_mean,realized_fpr_std_cp_seed,catch_rate_mean,catch_rate_std_cp_seed,balanced_accuracy_mean,balanced_accuracy_std_cp_seed,caught_alarm_fraction_mean,caught_alarm_fraction_std_cp_seed,effective_alarm_fraction_mean,effective_alarm_fraction_std_cp_seed,caught_lead_fraction_mean,caught_lead_fraction_std_cp_seed,effective_lead_fraction_mean,effective_lead_fraction_std_cp_seed,band_width_mean
lstm,0,0,0.01,fixed horizon 100,0.7318200924758301,0.0,0.00819672131147541,0.011591914445681108,0.03076923076923077,0.0358567127579539,0.5112862547288777,0.01296916433813663,0.7209722222222222,0.16263149950003422,0.9904102564102564,0.01382144043316756,0.2790277777777778,0.16263149950003422,0.009589743589743582,0.013821440433167563,1.2178814287684523
lstm,1,1,0.01,fixed horizon 100,0.5646879756468798,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,1.0,0.0,,,0.0,0.0,1.1577805440841327
lstm,2,2,0.01,fixed horizon 100,0.4708952228020874,0.0,0.448936170212766,0.057135132088291705,0.4,0.0823875365726431,0.475531914893617,0.03434155211693629,0.09427898550724637,0.06954518865256099,0.6421698113207548,0.05502222743982807,0.9057210144927537,0.069545188652561,0.35783018867924526,0.05502222743982806,1.2114545491048527
lstm,3,3,0.01,fixed horizon 100,0.6606570512820513,0.0,0.04791666666666666,0.03809962978984778,0.12307692307692308,0.07375974289047449,0.5375801282051282,0.020353370275888124,0.20064339826839825,0.26082549007020844,0.9111923076923076,0.056265022831367646,0.7993566017316017,0.2608254900702085,0.08880769230769227,0.05626502283136769,1.2447207751107607
lstm,4,4,0.01,fixed horizon 100,0.5441426146010188,0.0,0.0,0.0,0.01129032258064516,0.013278590360460718,0.5056451612903226,0.00663929518023036,0.931,0.021330729007701513,0.9992096774193548,0.0009838856570970258,0.06900000000000002,0.021330729007701527,0.0007903225806451641,0.0009838856570970247,1.0931093607015339
lstm,5,5,0.01,fixed horizon 100,0.47696669029057404,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,1.0,0.0,,,0.0,0.0,1.1211354960309952
lstm,6,6,0.01,fixed horizon 100,0.6211755233494364,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,1.0,0.0,,,0.0,0.0,1.166599303242907
lstm,7,7,0.01,fixed horizon 100,0.6482196482196482,0.0,0.0,0.0,0.05405405405405406,0.0,0.527027027027027,0.0,0.0,0.0,0.9459459459459459,0.0,1.0,0.0,0.05405405405405406,0.0,1.1223703922694632
lstm,8,8,0.01,fixed horizon 100,0.5921052631578947,0.0,0.0,0.0,0.031578947368421054,0.012711733987885474,0.5157894736842106,0.006355866993942734,0.1051851851851852,0.1553299455202011,0.9721447368421053,0.011501108983422803,0.8948148148148147,0.15532994552020113,0.02785526315789475,0.01150110898342281,1.2011944717469032
lstm,9,9,0.01,fixed horizon 100,0.5798611111111112,0.0,0.01388888888888889,0.014640174352631385,0.0234375,0.01983274246318726,0.5047743055555556,0.0043930053387410285,0.004285714285714286,0.00786795792469443,0.976609375,0.01985352859459115,0.9957142857142857,0.007867957924694451,0.02339062500000001,0.019853528594591184,1.187915413600955
lstm,0,0,0.025,fixed horizon 100,0.7318200924758301,0.0,0.022950819672131147,0.0207362469519238,0.08717948717948718,0.06303962022080606,0.532114333753678,0.024520466780114825,0.6071875,0.18198581484707962,0.9602564102564102,0.03717899596885451,0.39281249999999995,0.18198581484707962,0.03974358974358973,0.037178995968854524,1.1561126668027177
lstm,1,1,0.025,fixed horizon 100,0.5646879756468798,0.0,0.005479452054794521,0.011551699215226956,0.0037037037037037034,0.01171213948210511,0.4991121258244545,0.00888417605674148,0.35,,0.9975925925925926,0.007612890663368304,0.65,,0.0024074074074074024,0.007612890663368305,1.075346844038518
lstm,2,2,0.025,fixed horizon 100,0.4708952228020874,0.0,0.6,0.08379605950491875,0.539622641509434,0.06726914192262108,0.469811320754717,0.01983200700161034,0.08925355798885211,0.06008061095312388,0.5053584905660378,0.09285537658318473,0.9107464420111478,0.06008061095312389,0.49464150943396223,0.09285537658318474,1.1052806745212875
lstm,3,3,0.025,fixed horizon 100,0.6606570512820513,0.0,0.16041666666666668,0.10208569536194023,0.3019230769230769,0.10218278474877171,0.5707532051282052,0.02678421679978271,0.3081933862433862,0.22343946620661184,0.7947884615384615,0.09232636251714678,0.6918066137566138,0.22343946620661187,0.20521153846153845,0.09232636251714675,1.1759509530131123
lstm,4,4,0.025,fixed horizon 100,0.5441426146010188,0.0,0.0,0.0,0.014516129032258063,0.014122500576950211,0.507258064516129,0.007061250288475097,0.9333333333333332,0.02316606713852539,0.9990161290322581,0.0010298190271020426,0.06666666666666667,0.023166067138525395,0.000983870967741962,0.0010298190271020506,1.055695695531033
