model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,0,0,0,0.01,fixed horizon 50,192,57,135,1.0000398539779072,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.01,fixed horizon 100,192,57,135,1.0000406755705435,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.01,fixed horizon 148,192,57,135,1.0000466377695776,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.025,fixed horizon 50,192,57,135,1.0000270722174598,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.025,fixed horizon 100,192,57,135,1.0000270722174598,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.025,fixed horizon 148,192,57,135,1.0000373043247262,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.05,fixed horizon 50,192,57,135,1.000068680046743,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.05,fixed horizon 100,192,57,135,1.000068680046743,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.05,fixed horizon 148,192,57,135,1.0000089692887444,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.075,fixed horizon 50,192,57,135,1.0000124175381688,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.075,fixed horizon 100,192,57,135,1.0000543939728974,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.075,fixed horizon 148,192,57,135,1.0000361615077284,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.1,fixed horizon 50,192,57,135,0.9999844528612698,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.1,fixed horizon 100,192,57,135,1.0000004298223772,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.1,fixed horizon 148,192,57,135,1.0000004298223772,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.15,fixed horizon 50,192,57,135,1.0000162061757638,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.15,fixed horizon 100,192,57,135,1.001763192550941,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.15,fixed horizon 148,192,57,135,1.0158294511673447,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.2,fixed horizon 50,192,57,135,1.000365694056173,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.2,fixed horizon 100,192,57,135,1.071088205620592,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.2,fixed horizon 148,192,57,135,1.0162077947313686,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
