model,alpha,eval_time,n_tasks,realized_fpr_mean,realized_fpr_std_task,realized_fpr_ci_low,realized_fpr_ci_high,catch_rate_mean,catch_rate_std_task,catch_rate_ci_low,catch_rate_ci_high,balanced_accuracy_mean,balanced_accuracy_std_task,balanced_accuracy_ci_low,balanced_accuracy_ci_high,caught_alarm_fraction_mean,caught_alarm_fraction_std_task,caught_alarm_fraction_ci_low,caught_alarm_fraction_ci_high,effective_alarm_fraction_mean,effective_alarm_fraction_std_task,effective_alarm_fraction_ci_low,effective_alarm_fraction_ci_high,caught_lead_fraction_mean,caught_lead_fraction_std_task,caught_lead_fraction_ci_low,caught_lead_fraction_ci_high,effective_lead_fraction_mean,effective_lead_fraction_std_task,effective_lead_fraction_ci_low,effective_lead_fraction_ci_high
lstm,0.01,by earliest stop,10,0.03788844804867651,0.08705334019145373,0.0028278688524590164,0.09782062647754136,0.06859049439529927,0.07319641790966289,0.02792975711228974,0.11852722704469631,0.5153510231733114,0.02228729973987301,0.5017267835237671,0.5294334026716322,0.490703927924661,0.33077738344460506,0.2670094632338573,0.7184307071588968,0.9574424417021377,0.06527423737043922,0.9101380694674421,0.9896331277442619,0.509296072075339,0.3307773834446051,0.2832372854270707,0.7329905367661427,0.042557558297862494,0.06527423737043923,0.010681028255165292,0.08804078902209607
lstm,0.025,by earliest stop,10,0.0628145110148033,0.11671029796140824,0.01038276449611606,0.1458208512240451,0.1360381494859804,0.11687485899455077,0.06515906462489654,0.2108787505914284,0.5366118192355885,0.0337046228389161,0.5161813537960218,0.5576658136025544,0.5306171507524206,0.294688693581931,0.3245447739954888,0.7344501445649414,0.9216220822160951,0.10477125591072275,0.8492833916844776,0.9768841378919937,0.46938284924757934,0.294688693581931,0.26518031752128063,0.6697068706119594,0.07837791778390489,0.10477125591072274,0.023214506789293474,0.15109936758606596
lstm,0.05,by earliest stop,10,0.10301027968895946,0.1596727076483354,0.020415260899401502,0.21140885131036877,0.2268338211012094,0.17803132506370092,0.12003970001212527,0.3414166338839335,0.561911770706125,0.05176299602493314,0.5294967382005327,0.5937196232716163,0.668823827441418,0.19805123638754046,0.5455203276005671,0.7869557966885964,0.9056680198456387,0.11030939343718404,0.8295082452238434,0.9627251202196802,0.33117617255858195,0.19805123638754044,0.210732319515054,0.46010645368774655,0.09433198015436135,0.11030939343718407,0.037202258662743515,0.1698182909614122
lstm,0.075,by earliest stop,10,0.14369668090315485,0.22330510519053487,0.030536583113760996,0.3022719153331014,0.27593113652671697,0.22793881226622212,0.14425739179637642,0.4270440416040568,0.566117227811781,0.05755096806422933,0.5314434221443645,0.6027969267494856,0.6271625734555457,0.22820984751914816,0.4805328602578345,0.7587122319101192,0.8704415529851299,0.16377175582616468,0.7545742504902638,0.9523892355251435,0.3728374265444544,0.22820984751914816,0.23587310421556815,0.5149680672653556,0.12955844701487002,0.16377175582616466,0.04706876652184113,0.24198002364459772
lstm,0.1,by earliest stop,10,0.18442079028467914,0.23337967285594108,0.06174908144190025,0.3454565468633782,0.3436864506925453,0.2522543945552511,0.18972322893656363,0.5013295712901925,0.5796328302039331,0.06954165470877603,0.539423117650061,0.6251206748597228,0.6070914821065869,0.21211233510553015,0.4720236766957283,0.7319120060779407,0.8427636935258107,0.17426568955210522,0.7202709391541965,0.9332699016062528,0.39290851789341313,0.21211233510553018,0.2673159364533621,0.5320125204164554,0.15723630647418937,0.1742656895521052,0.06732493748784739,0.27796516545647626
lstm,0.15,by earliest stop,10,0.27283325925344926,0.2934813393556433,0.10619097643275371,0.4639921481459707,0.4509868244997084,0.30173288862693964,0.2688803316486416,0.6361938716668031,0.5890767826231296,0.07871357462138209,0.5435161864706515,0.6413481323734804,0.6028243229840587,0.1634146687569202,0.49727494160289676,0.6948334516572913,0.7931545041758955,0.19163875443716488,0.6671660182303301,0.9040717688916059,0.39717567701594125,0.16341466875692018,0.303521979874647,0.5042997966667803,0.20684549582410447,0.19163875443716485,0.09887445821868798,0.33329523763162794
lstm,0.2,by earliest stop,10,0.37479424030394665,0.3197897152823292,0.18628470336509134,0.5824691174100852,0.5667317142483403,0.2951375247496179,0.38607556149996186,0.7469201876070019,0.5959687369721969,0.09202100833677068,0.5432606166926212,0.6570213322614348,0.5767483038842574,0.15997063992955945,0.47550005480687496,0.6687582913029325,0.7274154801863874,0.2008706145378739,0.600756798653844,0.8466951231391946,0.4232516961157427,0.15997063992955943,0.33045003642795456,0.5274148349714693,0.27258451981361265,0.20087061453787386,0.1534845056329216,0.40226605078064637
lstm,0.3,by earliest stop,10,0.5141252126268204,0.346723139163778,0.3003943680206939,0.7252148869967598,0.691839244580818,0.279535486595292,0.5062649304134141,0.8524792370829768,0.5888570159769987,0.0992806865855412,0.5329609177279558,0.6551530920209399,0.46022837665155,0.1353212808583585,0.37664417311793447,0.5465814550097587,0.6040721974588456,0.21244512674054292,0.47693158297520105,0.7366182120267465,0.53977162334845,0.1353212808583585,0.45536775072571717,0.6224602463792095,0.39592780254115423,0.21244512674054292,0.260541207694821,0.5255202046310341
lstm,0.01,by final end,10,0.04373740191671719,0.0920813728882574,0.006919806141270159,0.10802187169091296,0.17521159351786736,0.13865901091271418,0.09608779865760952,0.26699417436969625,0.5657370958005752,0.061082706810809365,0.5326791700352378,0.6065935807376812,0.43201008547186676,0.26017953898705487,0.2751338278225699,0.5954951328172636,0.9184593871479649,0.07881369282891831,0.8635541137993186,0.9587430843133726,0.5679899145281333,0.26017953898705487,0.403600113053379,0.7323808783728608,0.08154061285203512,0.0788136928289183,0.0424398405404422,0.13596992025304042
lstm,0.025,by final end,10,0.07549872679649336,0.1273249077620467,0.01744667086718812,0.16582403706987772,0.31030214451223137,0.1601867567355282,0.21292569520878343,0.408851143787773,0.617401708857869,0.06316080363131,0.5811160912817221,0.6589730216649852,0.47064860214412574,0.2056214838599882,0.34491614306527496,0.5961698202186732,0.842014992556949,0.12186747028939186,0.7578846277075426,0.9086661685195518,0.5293513978558743,0.20562148385998824,0.40099383106985104,0.6558456943813131,0.15798500744305083,0.12186747028939186,0.09183953006446706,0.2423643838330944
lstm,0.05,by final end,10,0.12913831480139756,0.1718542948329837,0.03973609309554734,0.24799008863891603,0.45664666812226606,0.19113149099600257,0.33269461558731617,0.570643414272972,0.6637541766604343,0.07928597958264208,0.6147453430849134,0.7134694608826841,0.4327964336253367,0.14650197840807935,0.34314421743256673,0.5249937130662127,0.7557042907292437,0.14594062787395462,0.6610596993767259,0.8395676082910712,0.5672035663746633,0.14650197840807938,0.47527111791258564,0.6586135278121311,0.24429570927075628,0.1459406278739546,0.15988882688212225,0.3386913195578379
lstm,0.075,by final end,10,0.18966020331310898,0.22619711637646983,0.06535936634469681,0.3452806701329393,0.5703672135322759,0.22177084664548247,0.4278163562156964,0.7001440653928095,0.6903535051095834,0.10159265924055437,0.6255373537059273,0.7492047883241092,0.41385851343534724,0.16032023678606613,0.3114842720366921,0.5108371364599932,0.6839328871600878,0.17355706311992072,0.5700074608357553,0.7852305065409907,0.5861414865646528,0.16032023678606616,0.48941383689336665,0.6879623439276533,0.316067112839912,0.17355706311992072,0.2154344584605331,0.42915835268244873
