model,eval_time,constraint_type,constraint_value,constraint_met,alpha,realized_fpr_mean,catch_rate_mean,caught_alarm_fraction_mean,effective_alarm_fraction_mean,effective_lead_fraction_mean
lstm,by earliest stop,realized_fpr_at_most,0.01,False,0.01,0.03788844804867651,0.06859049439529927,0.490703927924661,0.9574424417021377,0.042557558297862494
lstm,by earliest stop,realized_fpr_at_most,0.05,True,0.01,0.03788844804867651,0.06859049439529927,0.490703927924661,0.9574424417021377,0.042557558297862494
lstm,by earliest stop,realized_fpr_at_most,0.1,True,0.025,0.0628145110148033,0.1360381494859804,0.5306171507524206,0.9216220822160951,0.07837791778390489
lstm,by earliest stop,catch_rate_at_least,0.25,True,0.075,0.14369668090315485,0.27593113652671697,0.6271625734555457,0.8704415529851299,0.12955844701487002
lstm,by earliest stop,catch_rate_at_least,0.5,True,0.2,0.37479424030394665,0.5667317142483403,0.5767483038842574,0.7274154801863874,0.27258451981361265
lstm,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.5141252126268204,0.691839244580818,0.46022837665155,0.6040721974588456,0.39592780254115423
lstm,by final end,realized_fpr_at_most,0.01,False,0.01,0.04373740191671719,0.17521159351786736,0.43201008547186676,0.9184593871479649,0.08154061285203512
lstm,by final end,realized_fpr_at_most,0.05,True,0.01,0.04373740191671719,0.17521159351786736,0.43201008547186676,0.9184593871479649,0.08154061285203512
lstm,by final end,realized_fpr_at_most,0.1,True,0.025,0.07549872679649336,0.31030214451223137,0.47064860214412574,0.842014992556949,0.15798500744305083
lstm,by final end,catch_rate_at_least,0.25,True,0.025,0.07549872679649336,0.31030214451223137,0.47064860214412574,0.842014992556949,0.15798500744305083
lstm,by final end,catch_rate_at_least,0.5,True,0.075,0.18966020331310898,0.5703672135322759,0.41385851343534724,0.6839328871600878,0.316067112839912
lstm,by final end,catch_rate_at_least,0.75,True,0.15,0.33622345237968393,0.7598969381455116,0.3820249761266467,0.5311521754046881,0.46884782459531193
mlp,by earliest stop,realized_fpr_at_most,0.01,True,0.025,0.005629432624113475,0.02000150389580628,0.6736536313985791,0.989999007416445,0.010000992583555121
mlp,by earliest stop,realized_fpr_at_most,0.05,True,0.075,0.047860520094562646,0.08476440159269727,0.45165636597241543,0.95530126026005,0.04469873973995002
mlp,by earliest stop,realized_fpr_at_most,0.1,True,0.075,0.047860520094562646,0.08476440159269727,0.45165636597241543,0.95530126026005,0.04469873973995002
mlp,by earliest stop,catch_rate_at_least,0.25,True,0.3,0.3723314936542974,0.411526461383112,0.1863615777945101,0.6739889174716448,0.3260110825283552
mlp,by earliest stop,catch_rate_at_least,0.5,False,0.3,0.3723314936542974,0.411526461383112,0.1863615777945101,0.6739889174716448,0.3260110825283552
mlp,by earliest stop,catch_rate_at_least,0.75,False,0.3,0.3723314936542974,0.411526461383112,0.1863615777945101,0.6739889174716448,0.3260110825283552
mlp,by final end,realized_fpr_at_most,0.01,False,0.01,0.012916666666666668,0.1671883659059099,0.9168395919522888,0.9813190469050521,0.018680953094947834
mlp,by final end,realized_fpr_at_most,0.05,True,0.025,0.025629432624113473,0.23764400142987432,0.8839433007948263,0.961692472092429,0.03830752790757101
mlp,by final end,realized_fpr_at_most,0.1,True,0.05,0.08888002364066194,0.5203983131702581,0.8458937953086675,0.8958628029968004,0.10413719700319961
mlp,by final end,catch_rate_at_least,0.25,True,0.05,0.08888002364066194,0.5203983131702581,0.8458937953086675,0.8958628029968004,0.10413719700319961
mlp,by final end,catch_rate_at_least,0.5,True,0.05,0.08888002364066194,0.5203983131702581,0.8458937953086675,0.8958628029968004,0.10413719700319961
mlp,by final end,catch_rate_at_least,0.75,True,0.1,0.19873850915669647,0.8224906390065453,0.7304741094590492,0.7580816899879937,0.24191831001200637
