model,fold,heldout_task,alpha,eval_time,realized_fpr_mean,realized_fpr_std_cp_seed,catch_rate_mean,catch_rate_std_cp_seed,balanced_accuracy_mean,balanced_accuracy_std_cp_seed,caught_alarm_fraction_mean,caught_alarm_fraction_std_cp_seed,effective_alarm_fraction_mean,effective_alarm_fraction_std_cp_seed,caught_lead_fraction_mean,caught_lead_fraction_std_cp_seed,effective_lead_fraction_mean,effective_lead_fraction_std_cp_seed,band_width_mean
lstm,0,0,0.01,by earliest stop,0.003278688524590164,0.006912082317307933,0.028205128205128206,0.025498177590044958,0.512463219840269,0.01044492867188789,0.6887163561076604,0.28162154397678113,0.9890746934225195,0.017987874991730525,0.31128364389233953,0.28162154397678113,0.010925306577480465,0.0179878749917305,1.2969516475715666
lstm,1,1,0.01,by earliest stop,0.0,0.0,0.01111111111111111,0.024998094730020477,0.5055555555555555,0.012499047365010217,0.9667431192660549,0.0016218045440059118,0.9996262317363234,0.0008506052035572992,0.033256880733945005,0.0016218045440058724,0.0003737682636765216,0.0008506052035573043,1.2250597975901563
lstm,2,2,0.01,by earliest stop,0.2957446808510638,0.17729077957442269,0.24339622641509434,0.17732057224352096,0.47382577278201526,0.03401972754531878,0.0870330812204244,0.12237562485756413,0.7788607708128409,0.16280019596875342,0.9129669187795756,0.12237562485756416,0.22113922918715914,0.16280019596875345,1.2687422541577666
lstm,3,3,0.01,by earliest stop,0.04375,0.04441188043144301,0.10192307692307692,0.07141037149555704,0.5290865384615384,0.020418459793701254,0.08798382989559458,0.14644926398173597,0.9113225010283834,0.06270487590385446,0.9120161701044054,0.14644926398173597,0.08867749897161664,0.06270487590385448,1.251322890801779
lstm,4,4,0.01,by earliest stop,0.0,0.0,0.01935483870967742,0.034676377412036774,0.5096774193548387,0.01733818870601836,0.8843700159489633,0.09689241338162084,0.9979472140762464,0.004509316757361771,0.11562998405103675,0.09689241338162083,0.002052785923753664,0.0045093167573617655,1.2354299294525144
lstm,5,5,0.01,by earliest stop,0.0,0.0,0.0,0.0,0.5,0.0,,,1.0,0.0,,,0.0,0.0,1.166856514301791
lstm,6,6,0.01,by earliest stop,0.0,0.0,0.0,0.0,0.5,0.0,,,1.0,0.0,,,0.0,0.0,1.4125084029963557
lstm,7,7,0.01,by earliest stop,0.0,0.0,0.07837837837837838,0.05900728970743357,0.5391891891891891,0.02950364485371677,0.206031746031746,0.3675644277151938,0.9519691119691119,0.015367655259844301,0.793968253968254,0.3675644277151938,0.04803088803088803,0.015367655259844301,1.179757605791141
lstm,8,8,0.01,by earliest stop,0.025,0.03513641844631532,0.1394736842105263,0.09850373360441961,0.5572368421052631,0.04393512025202382,0.6574085884353742,0.3134374372809436,0.9681537176274018,0.023000509703898372,0.34259141156462586,0.31343743728094353,0.03184628237259814,0.023000509703898376,1.6273440240990602
lstm,9,9,0.01,by earliest stop,0.01111111111111111,0.026835882863313773,0.0640625,0.08444891309905128,0.5264756944444444,0.031368329852481044,0.34734468649147077,0.3906407395851685,0.9774701763485478,0.014318692212526895,0.6526553135085292,0.3906407395851685,0.022529823651452265,0.014318692212526891,1.2073393772311283
