model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,0,0,0,0.01,by final end,192,57,135,1.0011005262897936,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.9920134510298444
mlp,0,0,0,0.01,by earliest stop,192,57,135,1.0011005262897936,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.01,fixed horizon 50,192,57,135,1.0000398539779072,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.01,fixed horizon 100,192,57,135,1.0000406755705435,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.01,fixed horizon 148,192,57,135,1.0000466377695776,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.025,by final end,192,57,135,1.0000406370937533,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.9920134510298444
mlp,0,0,0,0.025,by earliest stop,192,57,135,1.0000406370937533,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.025,fixed horizon 50,192,57,135,1.0000270722174598,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.025,fixed horizon 100,192,57,135,1.0000270722174598,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.025,fixed horizon 148,192,57,135,1.0000373043247262,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.05,by final end,192,57,135,1.0000089692887444,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.9920134510298444
mlp,0,0,0,0.05,by earliest stop,192,57,135,1.0000089692887444,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.05,fixed horizon 50,192,57,135,1.000068680046743,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.05,fixed horizon 100,192,57,135,1.000068680046743,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.05,fixed horizon 148,192,57,135,1.0000089692887444,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.075,by final end,192,57,135,1.0000372129857,0.0,0.3333333333333333,1.0,0.6666666666666666,0.9383136094674556,0.9794378698224853,0.06168639053254443,0.020562130177514737,,0.13,0.9920134510298444
mlp,0,0,0,0.075,by earliest stop,192,57,135,1.0000372129857,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.075,fixed horizon 50,192,57,135,1.0000124175381688,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.075,fixed horizon 100,192,57,135,1.0000543939728974,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.075,fixed horizon 148,192,57,135,1.0000361615077284,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.1,by final end,192,57,135,1.001132110467863,0.0,0.5897435897435898,1.0,0.7948717948717949,0.8984949832775919,0.9401380670611439,0.10150501672240808,0.05986193293885611,,0.23,0.9920134510298444
mlp,0,0,0,0.1,by earliest stop,192,57,135,1.001132110467863,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.1,fixed horizon 50,192,57,135,0.9999844528612698,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.1,fixed horizon 100,192,57,135,1.0000004298223772,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.1,fixed horizon 148,192,57,135,1.0000004298223772,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.15,by final end,192,57,135,1.0550152627222564,0.0,0.9487179487179487,1.0,0.9743589743589743,0.7923076923076924,0.8029585798816569,0.20769230769230762,0.19704142011834314,,0.37,0.9920134510298444
mlp,0,0,0,0.15,by earliest stop,192,57,135,1.0550152627222564,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.15,fixed horizon 50,192,57,135,1.0000162061757638,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.15,fixed horizon 100,192,57,135,1.001763192550941,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.15,fixed horizon 148,192,57,135,1.0158294511673447,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.2,by final end,192,57,135,1.0055297699100305,0.01639344262295082,0.9487179487179487,0.9836065573770492,0.9661622530474989,0.7340436590436591,0.7476824457593688,0.2659563409563409,0.2523175542406312,0.8442307692307692,0.38,0.9920134510298444
mlp,0,0,0,0.2,by earliest stop,192,57,135,1.0055297699100305,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.2,fixed horizon 50,192,57,135,1.000365694056173,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.2,fixed horizon 100,192,57,135,1.071088205620592,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.6233711643547709
mlp,0,0,0,0.2,fixed horizon 148,192,57,135,1.0162077947313686,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7536780159730979
mlp,0,0,0,0.3,by final end,192,57,135,0.9989327788790585,0.01639344262295082,0.9743589743589743,0.9836065573770492,0.9789827658680117,0.6945344129554656,0.7023668639053254,0.3054655870445344,0.29763313609467457,0.7423076923076923,0.39,0.9920134510298444
mlp,0,0,0,0.3,by earliest stop,192,57,135,0.9989327788790585,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.8171500630517025
mlp,0,0,0,0.3,fixed horizon 50,192,57,135,1.000304327670159,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.47498949138293406
mlp,0,0,0,0.3,fixed horizon 100,192,57,135,1.0005578272485616,0.0,0.02564102564102564,1.0,0.5128205128205128,0.75,0.9935897435897436,0.25,0.0064102564102563875,,0.01,0.6233711643547709
