method,layer,mean_delta_auc,ci_low,ci_high,std,folds_positive,n_folds,sign_flip_p_two_sided
PCA100,1,-0.02181207894647457,-0.04104032973227547,-0.0035977737779573846,0.030337363366175433,3,10,0.056640625
PCA100,4,-0.011279362538262644,-0.05086985738235668,0.021613046447834496,0.059436478758754234,6,10,0.66015625
PCA100,8,-0.02882071487201913,-0.05752487710564989,-0.004636782368043818,0.043429507933677065,1,10,0.060546875
PCA100,12,-0.0009497085236426173,-0.042205118011807936,0.03812770832135832,0.06502331218809387,6,10,0.96875
PCA100,16,0.018185670629679136,-0.01816149653118153,0.04986813462933658,0.05502581594607134,7,10,0.33203125
PCA100,20,0.024119333479406858,-0.011226530147800791,0.05647597695552967,0.05472188957347659,7,10,0.20703125
PCA100,24,0.004837393852290439,-0.014928857435697173,0.024950992208761895,0.03196302531771485,6,10,0.66015625
PCA100,28,0.008379869067008206,-0.022381248150229297,0.04393895269370533,0.05368046067243544,6,10,0.671875
PCA100,32,0.015595521524711364,-0.018400772019640844,0.05212106903286483,0.05734733120816923,5,10,0.435546875
PLS5_residual,1,-0.001022760843728776,-0.026850025779951547,0.0253461076090019,0.04210112378182197,3,10,0.947265625
PLS5_residual,4,0.010595496446933245,-0.02616010021600121,0.03784534751518501,0.05321293508142515,7,10,0.607421875
PLS5_residual,8,-0.0034638971225645966,-0.032672341413505404,0.02698325393247323,0.048175446751541444,5,10,0.828125
PLS5_residual,12,0.008979701569506542,-0.03238859192932824,0.047432210759128714,0.06478672276056512,6,10,0.66796875
PLS5_residual,16,0.015859364033939987,-0.018659562201677672,0.045673535841783214,0.05286124191257274,7,10,0.3828125
PLS5_residual,20,0.024387741623101318,-0.00871208446496814,0.05444740248137825,0.05116478004815728,8,10,0.17578125
PLS5_residual,24,0.013349405120655,-0.01733517996398885,0.039567371930833366,0.04616246466827838,7,10,0.396484375
PLS5_residual,28,0.006857988950116733,-0.032301986209314106,0.04034243494069013,0.059000273857243365,6,10,0.755859375
PLS5_residual,32,0.011777229281441265,-0.03412767151085791,0.05492452069910331,0.07321173493928078,6,10,0.63671875
