heldout_task,n_rollouts,n_success,n_failure,mlp_falert_early_auc,mlp_falert_end_auc,mlp_length_only_auc,mlp_lr,mlp_lambda_reg,lstm_falert_early_auc,lstm_falert_end_auc,lstm_length_only_auc,lstm_lr,lstm_lambda_reg
0,100,61,39,0.8171500630517025,0.9920134510298444,1.0,0.0001,0.01,0.8701134930643126,0.9651113913408996,1.0,0.0001,1.0
1,100,73,27,0.6732623033992897,0.995941146626078,1.0,0.0001,0.01,0.6220192795535262,0.9416539827498732,1.0,0.0001,1.0
2,100,47,53,0.6274588518667201,0.967482938578884,1.0,0.0001,0.01,0.5210758731433159,0.8052990766760337,1.0,0.0001,1.0
3,100,48,52,0.7255608974358975,0.9759615384615384,1.0,0.0001,0.01,0.6955128205128205,0.8349358974358975,1.0,0.0001,1.0
4,100,38,62,0.5980475382003395,0.9898132427843802,1.0,0.0001,0.01,0.5747028862478778,0.933786078098472,1.0,0.0001,1.0
5,100,83,17,0.4131821403260099,0.998582565556343,1.0,0.0001,0.01,0.4762579730687455,0.7335223245924877,1.0,0.0001,1.0
6,100,54,46,0.6078904991948471,0.9911433172302736,1.0,0.0001,0.01,0.6296296296296295,0.8498389694041868,1.0,0.0001,1.0
7,100,63,37,0.815958815958816,0.9588159588159588,1.0,0.0001,0.01,0.8494208494208494,0.972114972114972,1.0,0.0001,1.0
8,100,24,76,0.7236842105263158,0.9714912280701752,1.0,0.0001,0.01,0.7028508771929824,0.8366228070175438,1.0,0.0001,1.0
9,100,36,64,0.71875,0.98046875,1.0,0.0001,0.01,0.5755208333333333,0.8424479166666667,1.0,0.0001,1.0
