,L1,L4,L8,L12,L16,L20,L24,L28,L32
L1,1.000000,0.976950,0.849335,0.598521,0.584976,0.570981,0.519691,0.489953,0.466169
L4,0.976950,1.000000,0.896320,0.667358,0.657011,0.637555,0.576349,0.540018,0.512401
L8,0.849335,0.896320,1.000000,0.860883,0.826383,0.821825,0.795100,0.763367,0.727128
L12,0.598521,0.667358,0.860883,1.000000,0.974066,0.958538,0.920017,0.876352,0.837297
L16,0.584976,0.657011,0.826383,0.974066,1.000000,0.980284,0.914027,0.864202,0.827810
L20,0.570981,0.637555,0.821825,0.958538,0.980284,1.000000,0.957862,0.917988,0.883006
L24,0.519691,0.576349,0.795100,0.920017,0.914027,0.957862,1.000000,0.986996,0.956554
L28,0.489953,0.540018,0.763367,0.876352,0.864202,0.917988,0.986996,1.000000,0.980396
L32,0.466169,0.512401,0.727128,0.837297,0.827810,0.883006,0.956554,0.980396,1.000000

RBF,L1,L4,L8,L12,L16,L20,L24,L28,L32
L1,1.000000,0.965302,0.833086,0.677913,0.685638,0.682136,0.656583,0.656991,0.670011
L4,0.965302,1.000000,0.888003,0.737765,0.744698,0.741247,0.715981,0.715193,0.725565
L8,0.833086,0.888003,1.000000,0.917862,0.898813,0.897766,0.892439,0.881428,0.864999
L12,0.677913,0.737765,0.917862,1.000000,0.981101,0.967451,0.953813,0.934742,0.910078
L16,0.685638,0.744698,0.898813,0.981101,1.000000,0.987832,0.957254,0.939518,0.924946
L20,0.682136,0.741247,0.897766,0.967451,0.987832,1.000000,0.979312,0.966162,0.952502
L24,0.656583,0.715981,0.892439,0.953813,0.957254,0.979312,1.000000,0.994628,0.974868
L28,0.656991,0.715193,0.881428,0.934742,0.939518,0.966162,0.994628,1.000000,0.987022
L32,0.670011,0.725565,0.864999,0.910078,0.924946,0.952502,0.974868,0.987022,1.000000
