record_id,model,fold,split_role,dataset_index,source_key,task_id,episode_idx,label,success,length,task_min_step,n_scores
0,lstm,0,val,51,root-0/task1--ep1--succ1.pkl,1,1,0,1,253,218,253
1,lstm,0,val,54,root-0/task1--ep12--succ1.pkl,1,12,0,1,238,218,238
2,lstm,0,val,64,root-0/task1--ep21--succ0.pkl,1,21,1,0,520,218,520
3,lstm,0,val,70,root-0/task1--ep27--succ0.pkl,1,27,1,0,520,218,520
4,lstm,0,val,71,root-0/task1--ep28--succ1.pkl,1,28,0,1,270,218,270
5,lstm,0,val,72,root-0/task1--ep29--succ1.pkl,1,29,0,1,236,218,236
6,lstm,0,val,75,root-0/task1--ep31--succ1.pkl,1,31,0,1,232,218,232
7,lstm,0,val,77,root-0/task1--ep33--succ1.pkl,1,33,0,1,224,218,224
8,lstm,0,val,80,root-0/task1--ep36--succ0.pkl,1,36,1,0,520,218,520
9,lstm,0,val,81,root-0/task1--ep37--succ1.pkl,1,37,0,1,286,218,286
10,lstm,0,val,82,root-0/task1--ep38--succ1.pkl,1,38,0,1,249,218,249
11,lstm,0,val,83,root-0/task1--ep39--succ1.pkl,1,39,0,1,316,218,316
12,lstm,0,val,85,root-0/task1--ep40--succ1.pkl,1,40,0,1,225,218,225
13,lstm,0,val,86,root-0/task1--ep41--succ1.pkl,1,41,0,1,396,218,396
14,lstm,0,val,87,root-0/task1--ep42--succ1.pkl,1,42,0,1,243,218,243
15,lstm,0,val,93,root-0/task1--ep48--succ0.pkl,1,48,1,0,520,218,520
16,lstm,0,val,94,root-0/task1--ep49--succ1.pkl,1,49,0,1,265,218,265
17,lstm,0,val,97,root-0/task1--ep7--succ1.pkl,1,7,0,1,225,218,225
18,lstm,0,val,100,root-0/task2--ep0--succ1.pkl,2,0,0,1,258,211,258
19,lstm,0,val,101,root-0/task2--ep1--succ1.pkl,2,1,0,1,285,211,285
20,lstm,0,val,109,root-0/task2--ep17--succ1.pkl,2,17,0,1,242,211,242
21,lstm,0,val,111,root-0/task2--ep19--succ1.pkl,2,19,0,1,227,211,227
22,lstm,0,val,112,root-0/task2--ep2--succ0.pkl,2,2,1,0,520,211,520
23,lstm,0,val,113,root-0/task2--ep20--succ0.pkl,2,20,1,0,520,211,520
24,lstm,0,val,114,root-0/task2--ep21--succ1.pkl,2,21,0,1,320,211,320
25,lstm,0,val,117,root-0/task2--ep24--succ0.pkl,2,24,1,0,520,211,520
26,lstm,0,val,118,root-0/task2--ep25--succ1.pkl,2,25,0,1,251,211,251
27,lstm,0,val,121,root-0/task2--ep28--succ1.pkl,2,28,0,1,304,211,304
28,lstm,0,val,122,root-0/task2--ep29--succ0.pkl,2,29,1,0,520,211,520
29,lstm,0,val,125,root-0/task2--ep31--succ0.pkl,2,31,1,0,520,211,520
30,lstm,0,val,127,root-0/task2--ep33--succ0.pkl,2,33,1,0,520,211,520
31,lstm,0,val,132,root-0/task2--ep38--succ1.pkl,2,38,0,1,295,211,295
32,lstm,0,val,133,root-0/task2--ep39--succ0.pkl,2,39,1,0,520,211,520
33,lstm,0,val,134,root-0/task2--ep4--succ1.pkl,2,4,0,1,225,211,225
34,lstm,0,val,136,root-0/task2--ep41--succ0.pkl,2,41,1,0,520,211,520
35,lstm,0,val,138,root-0/task2--ep43--succ1.pkl,2,43,0,1,342,211,342
36,lstm,0,val,139,root-0/task2--ep44--succ0.pkl,2,44,1,0,520,211,520
37,lstm,0,val,143,root-0/task2--ep48--succ0.pkl,2,48,1,0,520,211,520
38,lstm,0,val,145,root-0/task2--ep5--succ0.pkl,2,5,1,0,520,211,520
39,lstm,0,val,147,root-0/task2--ep7--succ0.pkl,2,7,1,0,520,211,520
40,lstm,0,val,148,root-0/task2--ep8--succ1.pkl,2,8,0,1,316,211,316
41,lstm,0,val,158,root-0/task3--ep16--succ0.pkl,3,16,1,0,520,187,520
42,lstm,0,val,159,root-0/task3--ep17--succ1.pkl,3,17,0,1,218,187,218
43,lstm,0,val,160,root-0/task3--ep18--succ0.pkl,3,18,1,0,520,187,520
44,lstm,0,val,161,root-0/task3--ep19--succ0.pkl,3,19,1,0,520,187,520
45,lstm,0,val,163,root-0/task3--ep20--succ1.pkl,3,20,0,1,245,187,245
46,lstm,0,val,166,root-0/task3--ep23--succ1.pkl,3,23,0,1,296,187,296
47,lstm,0,val,168,root-0/task3--ep25--succ1.pkl,3,25,0,1,424,187,424
48,lstm,0,val,169,root-0/task3--ep26--succ0.pkl,3,26,1,0,520,187,520
49,lstm,0,val,171,root-0/task3--ep28--succ0.pkl,3,28,1,0,520,187,520
50,lstm,0,val,172,root-0/task3--ep29--succ0.pkl,3,29,1,0,520,187,520
51,lstm,0,val,176,root-0/task3--ep32--succ1.pkl,3,32,0,1,217,187,217
52,lstm,0,val,178,root-0/task3--ep34--succ0.pkl,3,34,1,0,520,187,520
53,lstm,0,val,179,root-0/task3--ep35--succ1.pkl,3,35,0,1,246,187,246
54,lstm,0,val,182,root-0/task3--ep38--succ1.pkl,3,38,0,1,394,187,394
55,lstm,0,val,183,root-0/task3--ep39--succ1.pkl,3,39,0,1,196,187,196
56,lstm,0,val,184,root-0/task3--ep4--succ1.pkl,3,4,0,1,453,187,453
57,lstm,0,val,187,root-0/task3--ep42--succ0.pkl,3,42,1,0,520,187,520
58,lstm,0,val,188,root-0/task3--ep43--succ0.pkl,3,43,1,0,520,187,520
59,lstm,0,val,189,root-0/task3--ep44--succ0.pkl,3,44,1,0,520,187,520
60,lstm,0,val,190,root-0/task3--ep45--succ1.pkl,3,45,0,1,457,187,457
61,lstm,0,val,192,root-0/task3--ep47--succ0.pkl,3,47,1,0,520,187,520
62,lstm,0,val,194,root-0/task3--ep49--succ1.pkl,3,49,0,1,214,187,214
63,lstm,0,val,199,root-0/task3--ep9--succ1.pkl,3,9,0,1,197,187,197
64,lstm,0,val,201,root-0/task4--ep1--succ0.pkl,4,1,1,0,520,209,520
65,lstm,0,val,203,root-0/task4--ep11--succ0.pkl,4,11,1,0,520,209,520
66,lstm,0,val,217,root-0/task4--ep24--succ1.pkl,4,24,0,1,294,209,294
67,lstm,0,val,219,root-0/task4--ep26--succ0.pkl,4,26,1,0,520,209,520
68,lstm,0,val,221,root-0/task4--ep28--succ1.pkl,4,28,0,1,233,209,233
69,lstm,0,val,223,root-0/task4--ep3--succ1.pkl,4,3,0,1,235,209,235
70,lstm,0,val,225,root-0/task4--ep31--succ1.pkl,4,31,0,1,241,209,241
71,lstm,0,val,227,root-0/task4--ep33--succ1.pkl,4,33,0,1,241,209,241
72,lstm,0,val,228,root-0/task4--ep34--succ1.pkl,4,34,0,1,246,209,246
73,lstm,0,val,233,root-0/task4--ep39--succ1.pkl,4,39,0,1,219,209,219
74,lstm,0,val,235,root-0/task4--ep40--succ0.pkl,4,40,1,0,520,209,520
75,lstm,0,val,239,root-0/task4--ep44--succ1.pkl,4,44,0,1,238,209,238
76,lstm,0,val,241,root-0/task4--ep46--succ0.pkl,4,46,1,0,520,209,520
77,lstm,0,val,249,root-0/task4--ep9--succ1.pkl,4,9,0,1,220,209,220
78,lstm,0,val,250,root-0/task5--ep0--succ1.pkl,5,0,0,1,161,148,161
79,lstm,0,val,253,root-0/task5--ep11--succ1.pkl,5,11,0,1,160,148,160
80,lstm,0,val,258,root-0/task5--ep16--succ1.pkl,5,16,0,1,327,148,327
81,lstm,0,val,264,root-0/task5--ep21--succ1.pkl,5,21,0,1,184,148,184
82,lstm,0,val,265,root-0/task5--ep22--succ0.pkl,5,22,1,0,520,148,520
83,lstm,0,val,267,root-0/task5--ep24--succ1.pkl,5,24,0,1,172,148,172
84,lstm,0,val,268,root-0/task5--ep25--succ1.pkl,5,25,0,1,207,148,207
85,lstm,0,val,269,root-0/task5--ep26--succ1.pkl,5,26,0,1,187,148,187
86,lstm,0,val,270,root-0/task5--ep27--succ1.pkl,5,27,0,1,261,148,261
87,lstm,0,val,271,root-0/task5--ep28--succ0.pkl,5,28,1,0,520,148,520
88,lstm,0,val,273,root-0/task5--ep3--succ1.pkl,5,3,0,1,233,148,233
89,lstm,0,val,274,root-0/task5--ep30--succ1.pkl,5,30,0,1,186,148,186
90,lstm,0,val,276,root-0/task5--ep32--succ1.pkl,5,32,0,1,183,148,183
91,lstm,0,val,280,root-0/task5--ep36--succ1.pkl,5,36,0,1,231,148,231
92,lstm,0,val,284,root-0/task5--ep4--succ1.pkl,5,4,0,1,194,148,194
93,lstm,0,val,287,root-0/task5--ep42--succ1.pkl,5,42,0,1,231,148,231
94,lstm,0,val,296,root-0/task5--ep6--succ1.pkl,5,6,0,1,197,148,197
95,lstm,0,val,298,root-0/task5--ep8--succ1.pkl,5,8,0,1,154,148,154
96,lstm,0,val,299,root-0/task5--ep9--succ1.pkl,5,9,0,1,334,148,334
97,lstm,0,val,303,root-0/task6--ep11--succ0.pkl,6,11,1,0,520,190,520
98,lstm,0,val,307,root-0/task6--ep15--succ1.pkl,6,15,0,1,249,190,249
99,lstm,0,val,310,root-0/task6--ep18--succ0.pkl,6,18,1,0,520,190,520
100,lstm,0,val,312,root-0/task6--ep2--succ1.pkl,6,2,0,1,210,190,210
101,lstm,0,val,315,root-0/task6--ep22--succ1.pkl,6,22,0,1,237,190,237
102,lstm,0,val,317,root-0/task6--ep24--succ1.pkl,6,24,0,1,245,190,245
103,lstm,0,val,318,root-0/task6--ep25--succ1.pkl,6,25,0,1,240,190,240
104,lstm,0,val,322,root-0/task6--ep29--succ1.pkl,6,29,0,1,236,190,236
105,lstm,0,val,323,root-0/task6--ep3--succ1.pkl,6,3,0,1,193,190,193
106,lstm,0,val,326,root-0/task6--ep32--succ0.pkl,6,32,1,0,520,190,520
107,lstm,0,val,331,root-0/task6--ep37--succ1.pkl,6,37,0,1,251,190,251
108,lstm,0,val,334,root-0/task6--ep4--succ1.pkl,6,4,0,1,218,190,218
109,lstm,0,val,335,root-0/task6--ep40--succ0.pkl,6,40,1,0,520,190,520
110,lstm,0,val,337,root-0/task6--ep42--succ0.pkl,6,42,1,0,520,190,520
111,lstm,0,val,339,root-0/task6--ep44--succ1.pkl,6,44,0,1,304,190,304
112,lstm,0,val,340,root-0/task6--ep45--succ0.pkl,6,45,1,0,520,190,520
113,lstm,0,val,341,root-0/task6--ep46--succ1.pkl,6,46,0,1,230,190,230
114,lstm,0,val,342,root-0/task6--ep47--succ0.pkl,6,47,1,0,520,190,520
115,lstm,0,val,344,root-0/task6--ep49--succ1.pkl,6,49,0,1,263,190,263
116,lstm,0,val,345,root-0/task6--ep5--succ1.pkl,6,5,0,1,260,190,260
117,lstm,0,val,351,root-0/task7--ep1--succ0.pkl,7,1,1,0,520,210,520
118,lstm,0,val,354,root-0/task7--ep12--succ0.pkl,7,12,1,0,520,210,520
119,lstm,0,val,356,root-0/task7--ep14--succ1.pkl,7,14,0,1,270,210,270
120,lstm,0,val,359,root-0/task7--ep17--succ0.pkl,7,17,1,0,520,210,520
121,lstm,0,val,361,root-0/task7--ep19--succ1.pkl,7,19,0,1,252,210,252
122,lstm,0,val,363,root-0/task7--ep20--succ1.pkl,7,20,0,1,259,210,259
123,lstm,0,val,364,root-0/task7--ep21--succ0.pkl,7,21,1,0,520,210,520
124,lstm,0,val,365,root-0/task7--ep22--succ0.pkl,7,22,1,0,520,210,520
125,lstm,0,val,367,root-0/task7--ep24--succ1.pkl,7,24,0,1,231,210,231
126,lstm,0,val,372,root-0/task7--ep29--succ0.pkl,7,29,1,0,520,210,520
127,lstm,0,val,377,root-0/task7--ep33--succ0.pkl,7,33,1,0,520,210,520
128,lstm,0,val,378,root-0/task7--ep34--succ0.pkl,7,34,1,0,520,210,520
129,lstm,0,val,383,root-0/task7--ep39--succ1.pkl,7,39,0,1,236,210,236
130,lstm,0,val,384,root-0/task7--ep4--succ0.pkl,7,4,1,0,520,210,520
131,lstm,0,val,385,root-0/task7--ep40--succ1.pkl,7,40,0,1,341,210,341
132,lstm,0,val,386,root-0/task7--ep41--succ1.pkl,7,41,0,1,273,210,273
133,lstm,0,val,387,root-0/task7--ep42--succ1.pkl,7,42,0,1,267,210,267
134,lstm,0,val,388,root-0/task7--ep43--succ0.pkl,7,43,1,0,520,210,520
135,lstm,0,val,391,root-0/task7--ep46--succ0.pkl,7,46,1,0,520,210,520
136,lstm,0,val,395,root-0/task7--ep5--succ0.pkl,7,5,1,0,520,210,520
137,lstm,0,val,396,root-0/task7--ep6--succ1.pkl,7,6,0,1,290,210,290
138,lstm,0,val,397,root-0/task7--ep7--succ1.pkl,7,7,0,1,232,210,232
139,lstm,0,val,401,root-0/task8--ep1--succ1.pkl,8,1,0,1,448,315,448
140,lstm,0,val,402,root-0/task8--ep10--succ0.pkl,8,10,1,0,520,315,520
141,lstm,0,val,403,root-0/task8--ep11--succ1.pkl,8,11,0,1,486,315,486
142,lstm,0,val,407,root-0/task8--ep15--succ1.pkl,8,15,0,1,347,315,347
143,lstm,0,val,409,root-0/task8--ep17--succ1.pkl,8,17,0,1,509,315,509
144,lstm,0,val,413,root-0/task8--ep20--succ0.pkl,8,20,1,0,520,315,520
145,lstm,0,val,419,root-0/task8--ep26--succ1.pkl,8,26,0,1,427,315,427
146,lstm,0,val,420,root-0/task8--ep27--succ0.pkl,8,27,1,0,520,315,520
147,lstm,0,val,424,root-0/task8--ep30--succ1.pkl,8,30,0,1,417,315,417
148,lstm,0,val,425,root-0/task8--ep31--succ0.pkl,8,31,1,0,520,315,520
149,lstm,0,val,426,root-0/task8--ep32--succ0.pkl,8,32,1,0,520,315,520
150,lstm,0,val,432,root-0/task8--ep38--succ0.pkl,8,38,1,0,520,315,520
151,lstm,0,val,433,root-0/task8--ep39--succ0.pkl,8,39,1,0,520,315,520
152,lstm,0,val,438,root-0/task8--ep43--succ0.pkl,8,43,1,0,520,315,520
153,lstm,0,val,439,root-0/task8--ep44--succ1.pkl,8,44,0,1,315,315,315
154,lstm,0,val,440,root-0/task8--ep45--succ0.pkl,8,45,1,0,520,315,520
155,lstm,0,val,441,root-0/task8--ep46--succ0.pkl,8,46,1,0,520,315,520
156,lstm,0,val,445,root-0/task8--ep5--succ0.pkl,8,5,1,0,520,315,520
157,lstm,0,val,446,root-0/task8--ep6--succ0.pkl,8,6,1,0,520,315,520
158,lstm,0,val,447,root-0/task8--ep7--succ0.pkl,8,7,1,0,520,315,520
159,lstm,0,val,449,root-0/task8--ep9--succ1.pkl,8,9,0,1,504,315,504
160,lstm,0,val,450,root-0/task9--ep0--succ0.pkl,9,0,1,0,520,241,520
161,lstm,0,val,451,root-0/task9--ep1--succ0.pkl,9,1,1,0,520,241,520
